gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2930958170	44	1	44	6.5e-22	71.2	TIGR01030	ribosomal protein L34, bacterial type
2930958171	118	1	112	1.3e-24	80.2	TIGR00188	ribonuclease P protein component, eubacterial
2930958172	277	58	242	8.4e-60	195.7	TIGR03592	membrane protein insertase, YidC/Oxa1 family, C-terminal domain
2930958174	464	14	464	0.0e+00	452.1	TIGR00450	tRNA modification GTPase TrmE
2930958175	636	12	631	0.0e+00	906.6	TIGR00136	glucose-inhibited division protein A
2930958178	227	2	225	5.2e-54	176.6	TIGR02254	noncanonical pyrimidine nucleotidase, YjjG family
2930958180	447	14	427	8.0e-119	390.8	TIGR00796	branched-chain amino acid uptake carrier
2930958185	418	30	409	6.0e-87	286.1	TIGR00710	drug resistance transporter, Bcr/CflA subfamily
2930958186	195	10	183	2.0e-44	144.9	TIGR02227	signal peptidase I, bacterial type
2930958189	214	41	178	5.2e-08	27	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2930958191	400	367	400	5.9e-05	17.3	TIGR01167	LPXTG-motif cell wall anchor domain
2930958196	485	3	485	0.0e+00	533.1	TIGR04265	cardiolipin synthase
2930958198	491	25	486	9.7e-92	301.4	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930958207	258	25	255	1.4e-28	93.6	TIGR00025	ABC transporter efflux protein, DrrB family
2930958208	311	14	308	2.1e-99	326.2	TIGR01188	daunorubicin resistance ABC transporter ATP-binding subunit
2930958215	380	7	370	1.8e-96	317.1	TIGR01910	acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase
2930958216	1201	1	1194	0.0e+00	852.4	TIGR02773	helicase-exonuclease AddAB, AddB subunit
2930958217	1262	6	1252	0.0e+00	1403.5	TIGR02785	helicase-exonuclease AddAB, AddA subunit, Firmicutes type
2930958249	651	1	162	1.9e-24	79.9	TIGR00231	small GTP-binding protein domain
2930958256	299	2	291	4.3e-87	285.8	TIGR01250	proline-specific peptidase, Bacillus coagulans-type subfamily
2930958259	239	4	231	2.3e-56	184.5	TIGR01740	orotidine 5'-phosphate decarboxylase, subfamily 1
2930958260	210	10	179	5.9e-41	133.7	TIGR00336	orotate phosphoribosyltransferase
2930958271	389	7	387	0.0e+00	459.7	TIGR01930	acetyl-CoA acetyltransferases
2930958275	418	1	417	2.2e-130	428.9	TIGR00234	tyrosyl-tRNA synthetase
2930958276	626	10	617	0.0e+00	1256.7	TIGR03811	tyrosine decarboxylase, Enterococcus type
2930958278	476	10	461	2.1e-106	349.9	TIGR00931	Na+/H+ antiporter NhaC
2930958279	347	5	336	0.0e+00	578.8	TIGR04384	putrescine carbamoyltransferase
2930958281	364	6	363	0.0e+00	614.8	TIGR03380	agmatine deiminase
2930958282	314	4	314	7.3e-124	406.3	TIGR00746	carbamate kinase
2930958283	370	5	362	0.0e+00	578.7	TIGR03380	agmatine deiminase
2930958287	323	2	322	1.3e-52	172.6	TIGR00946	he Auxin Efflux Carrier (AEC) Family
2930958288	165	5	162	2.3e-47	154.6	TIGR02359	energy coupling factor transporter S component ThiW
2930958293	453	2	444	3.0e-112	369.3	TIGR00879	MFS transporter, sugar porter (SP) family
2930958294	178	21	175	7.7e-24	77.7	TIGR00481	Raf kinase inhibitor-like protein, YbhB/YbcL family
2930958297	230	15	210	6.3e-34	111.3	TIGR01428	2-haloalkanoic acid dehalogenase, type II
2930958299	325	111	324	7.9e-36	117.3	TIGR01297	cation diffusion facilitator family transporter
2930958317	459	10	449	7.2e-99	324.9	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930958330	333	1	321	1.5e-22	73.6	TIGR01202	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase
2930958340	386	79	229	6.9e-33	107.7	TIGR00350	cell envelope-related function transcriptional attenuator common domain
2930958342	264	4	255	2.1e-72	237	TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
2930958344	186	11	182	9.3e-80	260	TIGR01440	TIGR01440 family protein
2930958352	692	4	508	1.5e-86	284.5	TIGR00831	Na+/H+ antiporter, bacterial form
2930958353	132	2	115	4.5e-33	107.6	TIGR01617	transcriptional regulator, Spx/MgsR family
2930958355	309	2	307	2.3e-80	263.7	TIGR00745	2-dehydropantoate 2-reductase
2930958364	215	3	207	3.5e-49	160.8	TIGR00197	yjeF N-terminal region
2930958371	456	18	431	6.6e-99	325.2	TIGR00796	branched-chain amino acid uptake carrier
2930958374	460	19	432	2.0e-97	320.3	TIGR00796	branched-chain amino acid uptake carrier
2930958378	602	6	596	0.0e+00	611.6	TIGR02290	oligoendopeptidase, pepF/M3 family
2930958381	535	4	518	0.0e+00	529.7	TIGR03319	ribonuclease Y
2930958390	487	48	478	0.0e+00	471.8	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
2930958392	252	5	250	1.5e-79	260.5	TIGR00245	TIGR00245 family protein
2930958394	262	6	256	1.6e-72	237.6	TIGR00694	hydroxyethylthiazole kinase
2930958395	271	8	263	4.1e-97	318.1	TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
2930958396	217	11	211	9.2e-57	185.1	TIGR00693	thiamine-phosphate diphosphorylase
2930958420	419	4	417	2.3e-93	307.1	TIGR00804	nucleoside transporter
2930958425	242	25	220	2.5e-47	154.5	TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
2930958426	278	24	276	7.3e-108	353.4	TIGR04285	nucleoid occlusion protein
2930958428	294	25	208	1.4e-60	197.9	TIGR00180	ParB/RepB/Spo0J family partition protein
2930958430	366	1	366	0.0e+00	512.4	TIGR00092	GTP-binding protein YchF
2930958437	1025	194	220	1.2e-04	16	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	228	255	1.5e-05	18.8	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	270	297	1.5e-07	25.2	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	312	339	2.8e-07	24.3	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	354	381	8.5e-06	19.6	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	588	615	5.2e-06	20.3	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	6	169	7.4e-61	198.2	TIGR03061	YhgE/Pip N-terminal domain
2930958437	1025	616	643	1.4e-04	15.8	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	651	678	2.1e-04	15.2	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	721	748	1.9e-09	31.1	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930958437	1025	794	998	2.1e-65	213.9	TIGR03062	YhgE/Pip C-terminal domain
2930958443	266	18	242	3.3e-24	79.9	TIGR00346	4-azaleucine resistance probable transporter AzlC
2930958449	663	629	662	3.6e-07	24.4	TIGR01167	LPXTG-motif cell wall anchor domain
2930958450	230	2	230	6.7e-111	363.2	TIGR01258	phosphoglycerate mutase, BPG-dependent, family 1
2930958454	456	8	419	4.0e-84	276.7	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
