gene_oid	gene_length	superfam_id	db_name	percent_identity	query_start	query_end	evalue	bit_score	align_length
2930936637	452	SM00382	SMART	82.61	149	277	1.0e-12	41.8	129
2930936637	452	SM00760	SMART	100	360	429	1.1e-42	138.9	70
2930936638	379	SM00480	SMART	99.73	17	374	0.0e+00	470.8	358
2930936641	384	SM00382	SMART	25	35	370	1.7e-03	11.9	336
2930936642	647	SM00433	SMART	99.84	44	641	0.0e+00	1183.6	598
2930936643	844	SM00434	SMART	99.81	13	466	0.0e+00	937.7	454
2930936658	462	SM00382	SMART	65.22	205	389	6.8e-05	16.5	185
2930936667	238	SM00448	SMART	100	3	113	3.4e-49	161.2	111
2930936668	618	SM00304	SMART	98.11	205	257	4.4e-16	52.7	53
2930936668	618	SM00091	SMART	92.65	264	328	2.6e-13	43.1	65
2930936668	618	SM00388	SMART	98.88	377	444	8.9e-25	81.4	68
2930936668	618	SM00387	SMART	98.46	495	607	4.1e-43	141	113
2930936671	275	SM00849	SMART	85.77	23	197	1.1e-15	51.7	175
2930936672	447	SM00228	SMART	96.25	332	420	6.5e-10	32.8	89
2930936689	439	SM00857	SMART	99.46	7	155	2.3e-44	145.4	149
2930936690	543	SM00857	SMART	99.46	11	160	1.6e-59	195.2	150
2930936691	1577	SM00487	SMART	31.96	170	272	3.6e-14	45.8	103
2930936691	1577	SM00487	SMART	46.12	287	403	3.6e-14	45.8	117
2930936691	1577	SM00490	SMART	81.4	527	604	1.3e-08	28	78
2930936707	440	SM00857	SMART	99.46	7	155	7.5e-45	147	149
2930936708	543	SM00857	SMART	99.46	11	160	1.4e-58	192.1	150
2930936709	990	SM00487	SMART	97.26	254	455	6.3e-25	81.1	202
2930936718	245	SM00382	SMART	93.48	100	235	1.3e-12	41.5	136
2930936731	97	SM00165	SMART	57.89	66	94	1.0e-03	12.7	29
2930936735	497	SM00382	SMART	72.83	32	194	3.7e-17	56.2	163
2930936735	497	SM00382	SMART	78.26	336	489	3.7e-17	56.2	154
2930936739	143	SM00347	SMART	73.27	31	127	2.9e-28	91.9	97
2930936742	198	SM01266	SMART	98.46	7	59	1.7e-14	47.4	53
2930936750	282	SM00244	SMART	98.88	2	159	2.2e-31	102.6	158
2930936784	213	SM00530	SMART	100	6	61	7.8e-16	51.6	56
2930936787	480	SM01350	SMART	100	182	477	0.0e+00	669.8	296
2930936788	142	SM00347	SMART	85.15	21	118	1.2e-15	50.8	98
2930936797	271	SM00287	SMART	56.52	32	80	1.3e-01	5.6	49
2930936803	219	SM00530	SMART	69.64	6	68	2.6e-03	11.4	63
2930936806	506	SM00382	SMART	85.87	28	153	9.0e-29	93.8	126
2930936806	506	SM00382	SMART	85.87	293	466	9.0e-29	93.8	174
2930936810	322	SM00354	SMART	98.61	3	74	2.6e-28	91.8	72
2930936813	394	SM00116	SMART	91.49	175	224	3.4e-13	42.8	50
