gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2930936637	452	99.77	8	448	1	432	0.0e+00	550.1	COG0593	Chromosomal replication initiation ATPase DnaA	408
2930936638	379	100	1	378	1	365	2.0e-109	359.7	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2930936640	75	87.67	1	72	3	66	1.1e-28	92.3	COG2501	Ribosome-associated protein YbcJ, S4-like RNA binding protein	73
2930936641	384	99.45	1	370	1	361	1.9e-127	418.8	COG1195	Recombinational DNA repair ATPase RecF	363
2930936642	647	99.38	10	647	2	638	0.0e+00	956.4	COG0187	DNA gyrase/topoisomerase IV, subunit B	635
2930936643	844	98.89	2	812	9	812	0.0e+00	1147.2	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2930936644	98	83.04	4	98	2	94	1.0e-31	102.7	COG0360	Ribosomal protein S6	112
2930936645	188	99.42	1	188	2	171	3.1e-52	169	COG0629	Single-stranded DNA-binding protein	167
2930936646	78	83.54	1	72	14	79	3.8e-31	101.2	COG0238	Ribosomal protein S18	75
2930936647	395	87.71	7	395	43	399	1.1e-66	218.8	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930936648	535	98.26	1	535	5	568	1.5e-98	324.4	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930936650	394	88.7	18	393	36	396	2.3e-66	217.7	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930936651	533	98.95	1	533	4	571	1.5e-102	337.7	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930936652	188	51.2	2	184	16	122	9.0e-17	55	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930936653	244	94.21	1	243	8	251	1.7e-26	86.6	COG0730	Uncharacterized membrane protein YfcA	258
2930936654	671	98.78	10	668	4	650	0.0e+00	759.9	COG3887	c-di-AMP phosphodiesterase, consists of a GGDEF-like and DHH domains	655
2930936655	152	99.32	1	151	1	147	4.1e-53	173.1	COG0359	Ribosomal protein L9	148
2930936658	462	99.54	9	457	2	435	0.0e+00	574.3	COG0305	Replicative DNA helicase	435
2930936659	176	76.06	1	171	1	162	1.9e-21	69.5	COG0655	Multimeric flavodoxin WrbA	207
2930936660	391	49.09	200	385	4	191	2.5e-19	34.3	COG0477	MFS family permease	338
2930936660	391	82.51	3	273	5	320	2.5e-19	33.5	COG0477	MFS family permease	338
2930936661	89	41.34	2	88	69	142	1.0e-04	15.8	COG3134	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	179
2930936663	536	98.43	1	536	7	571	7.7e-100	328.7	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930936667	238	99.57	3	234	1	231	3.0e-90	295.1	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2930936668	618	99.13	152	617	5	459	0.0e+00	633.4	COG5002	Signal transduction histidine kinase	459
2930936669	433	95.22	2	432	11	428	2.1e-36	118.9	COG4863	Two-component signal transduction system YycFG, regulatory protein YycH	439
2930936670	284	99.24	1	269	1	262	1.2e-32	106.7	COG4853	Two-component signal transduction system YycFG, regulatory protein YycI	264
2930936671	275	98.9	10	261	3	272	1.6e-53	175.2	COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	269
2930936672	447	92.88	34	438	22	360	3.9e-91	299.2	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	347
2930936673	159	100	1	159	1	156	2.0e-58	190.5	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	155
2930936675	118	47.12	5	116	80	177	1.5e-03	11.5	COG5578	Uncharacterized membrane protein YesL	208
2930936678	101	20.71	27	99	7	70	1.4e-03	10.9	COG4965	Flp pilus assembly protein TadB	309
2930936682	182	91.02	4	175	13	164	7.1e-18	58.1	COG4333	Uncharacterized protein	167
2930936689	439	11.48	263	287	8	21	7.9e-04	5.8	COG3877	Uncharacterized protein	122
2930936689	439	37.7	295	364	74	119	7.9e-04	4.3	COG3877	Uncharacterized protein	122
2930936689	439	91.59	5	235	2	208	2.0e-40	131.6	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	222
2930936690	543	90.71	9	235	2	206	4.4e-43	140.2	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	222
2930936691	1577	99.75	7	1570	4	1569	0.0e+00	1822.6	COG4889	Predicted helicase	1518
2930936693	309	97.54	1	308	7	323	1.4e-77	254.7	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930936694	58	52.48	1	55	47	99	1.6e-16	54.3	COG3586	Predicted transport protein	101
2930936695	122	69.94	7	122	35	148	8.9e-09	28.5	COG3272	Uncharacterized conserved protein YbgA, DUF1722 family	163
2930936697	568	17.8	240	327	138	218	6.1e-34	1	COG1479	Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	409
2930936697	568	60	5	305	7	279	6.1e-34	111.4	COG1479	Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	409
2930936701	182	91.62	5	175	12	164	5.4e-18	58.4	COG4333	Uncharacterized protein	167
2930936706	262	41.64	40	240	117	273	6.0e-17	55	COG2946	DNA relaxase NicK	377
2930936707	440	79.65	5	215	2	181	2.5e-35	115.1	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	222
2930936708	543	90.71	9	235	2	206	1.7e-43	141.3	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	222
2930936709	990	97	1	986	4	974	0.0e+00	563.3	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	962
2930936710	530	97.51	3	512	9	518	0.0e+00	444.2	COG0286	Type I restriction-modification system, DNA methylase subunit	489
2930936711	425	74.07	71	425	103	402	3.8e-35	110.6	COG0732	Restriction endonuclease S subunit	391
2930936712	122	70.55	7	122	35	149	1.2e-09	31.7	COG3272	Uncharacterized conserved protein YbgA, DUF1722 family	163
2930936713	606	93.18	20	604	24	515	6.2e-88	289.1	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	517
2930936715	341	97.23	8	341	3	318	2.3e-75	247.3	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930936717	407	90.49	4	285	16	272	1.9e-56	184.9	COG4584	Transposase	278
2930936718	245	96.54	1	245	4	254	6.5e-66	216.4	COG1484	DNA replication protein DnaC	254
2930936725	627	93.75	16	609	17	511	4.0e-88	289.8	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	517
2930936726	162	64.2	6	158	50	153	6.2e-11	36.5	COG0454	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)	156
2930936728	303	77.54	11	288	64	315	1.5e-28	93.4	COG0760	Parvulin-like peptidyl-prolyl isomerase	320
2930936731	97	32.12	17	96	88	131	7.9e-07	22.7	COG5566	Transcriptional regulator, Middle operon regulator (Mor) family	137
2930936732	330	51	25	325	121	247	1.7e-28	93.7	COG0791	Cell wall-associated hydrolase, NlpC family	197
2930936734	200	53.99	2	190	2	150	7.6e-12	38.6	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	275
2930936735	497	11.4	1	84	1	61	4.8e-100	44.1	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2930936735	497	71.4	70	495	131	512	4.8e-100	285.6	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2930936736	200	82.78	1	196	2	174	2.6e-12	41.5	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930936737	491	47	262	489	8	187	6.6e-36	26.3	COG0477	MFS family permease	338
2930936737	491	74.15	7	274	8	291	6.6e-36	96.4	COG0477	MFS family permease	338
2930936738	205	98.02	1	200	4	201	1.2e-42	139.3	COG1279	Arginine exporter protein ArgO	202
2930936739	143	96.24	19	140	5	132	2.3e-28	92.3	COG1846	DNA-binding transcriptional regulator, MarR family	126
2930936740	317	78.3	7	315	51	299	1.7e-67	221.7	COG0657	Acetyl esterase/lipase	312
2930936741	314	96.5	1	311	6	308	2.0e-54	178.3	COG1397	ADP-ribosylglycohydrolase	314
2930936742	198	90.53	15	191	10	181	5.2e-51	166.6	COG0110	Acetyltransferase (isoleucine patch superfamily)	190
2930936744	190	93.17	2	190	2	192	9.3e-40	130	COG4300	Cadmium resistance protein CadD, predicted permease	205
2930936745	143	32.28	6	127	106	166	6.5e-07	22.8	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2930936746	170	94.96	36	166	7	138	5.5e-23	74.8	COG2246	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)	139
2930936747	546	98.61	5	546	7	572	2.7e-107	353.2	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930936748	211	68.42	1	204	14	156	1.4e-13	45.6	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930936749	424	19.27	1	167	5	167	1.5e-54	81.1	COG1511	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	780
2930936749	424	27.78	161	417	582	816	1.5e-54	92.7	COG1511	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	780
2930936750	282	88.04	1	264	23	287	5.1e-48	157.5	COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily	291
2930936751	109	65.08	1	45	1	41	2.8e-07	23.5	COG4877	Uncharacterized protein	63
2930936753	187	95.7	3	186	8	185	4.7e-45	146.7	COG3575	Uncharacterized protein	184
2930936754	167	14.03	9	158	54	131	1.7e-02	7.5	COG2194	Phosphoethanolamine transferase for periplasmic glucans (OPG), alkaline phosphatase superfamily	555
2930936755	121	84.4	1	121	19	137	1.6e-24	79.8	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	141
2930936756	273	97.16	1	273	8	281	0.0e+00	437.9	COG0447	1,4-Dihydroxy-2-naphthoyl-CoA synthase	282
2930936757	477	95.95	1	476	15	559	9.5e-86	281.3	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2930936760	504	98.55	4	498	3	479	2.1e-104	343.4	COG0769	UDP-N-acetylmuramyl tripeptide synthase	475
2930936761	502	98.43	1	502	8	508	0.0e+00	691.7	COG1190	Lysyl-tRNA synthetase (class II)	502
