gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2930936637	452	8	450	0.0e+00	573.9	TIGR00362	chromosomal replication initiator protein DnaA
2930936638	379	1	378	1.1e-105	347.2	TIGR00663	DNA polymerase III, beta subunit
2930936640	75	4	63	2.9e-31	101.2	TIGR02988	S4 domain protein YaaA
2930936641	384	1	368	5.2e-126	414.3	TIGR00611	recF protein
2930936642	647	15	647	0.0e+00	973	TIGR01059	DNA gyrase, B subunit
2930936643	844	10	811	0.0e+00	1196.9	TIGR01063	DNA gyrase, A subunit
2930936644	98	3	98	2.6e-24	79	TIGR00166	ribosomal protein S6
2930936645	188	1	188	1.5e-48	158.9	TIGR00621	single stranded DNA-binding protein (ssb)
2930936646	78	8	77	1.7e-31	102.1	TIGR00165	ribosomal protein S18
2930936655	152	1	150	5.2e-45	147.2	TIGR00158	ribosomal protein L9
2930936658	462	10	457	0.0e+00	589	TIGR00665	replicative DNA helicase
2930936668	618	260	378	9.2e-07	22.8	TIGR00229	PAS domain S-box
2930936673	159	1	159	1.8e-56	184.1	TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
2930936674	120	1	120	6.7e-67	217.3	TIGR02328	conserved hypothetical protein
2930936698	120	1	120	1.4e-67	219.4	TIGR02328	conserved hypothetical protein
2930936709	990	3	703	1.1e-91	302	TIGR00348	type I site-specific deoxyribonuclease, HsdR family
2930936710	530	4	499	3.0e-108	356.4	TIGR00497	type I restriction system adenine methylase (hsdM)
2930936720	614	152	177	6.1e-09	29.2	TIGR02167	bacterial surface protein 26-residue repeat
2930936730	690	272	297	2.4e-09	30.6	TIGR02167	bacterial surface protein 26-residue repeat
2930936730	690	339	362	1.4e-08	28.1	TIGR02167	bacterial surface protein 26-residue repeat
2930936730	690	363	385	4.9e-06	20	TIGR02167	bacterial surface protein 26-residue repeat
2930936730	690	658	690	6.5e-07	23.6	TIGR01167	LPXTG-motif cell wall anchor domain
2930936737	491	12	484	8.4e-88	288.8	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930936749	424	218	420	4.5e-50	163.8	TIGR03062	YhgE/Pip C-terminal domain
2930936749	424	4	161	6.3e-34	110.7	TIGR03061	YhgE/Pip N-terminal domain
2930936755	121	3	120	1.8e-23	76.6	TIGR00369	uncharacterized domain 1
2930936756	273	12	269	1.6e-120	395.1	TIGR01929	naphthoate synthase (dihydroxynaphthoic acid synthetase)
2930936757	477	26	467	1.1e-128	423.4	TIGR01923	O-succinylbenzoate-CoA ligase
2930936760	504	25	497	1.5e-93	307.9	TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
2930936761	502	12	502	0.0e+00	661.7	TIGR00499	lysyl-tRNA synthetase, eukaryotic and non-spirochete bacterial
2930936769	501	6	500	0.0e+00	446.3	TIGR00910	glutamate:gamma-aminobutyrate antiporter
2930936770	479	20	460	0.0e+00	529.1	TIGR01788	glutamate decarboxylase
2930936771	292	10	292	3.0e-115	379.4	TIGR00464	glutamyl-tRNA synthetase, bacterial family
2930936780	187	1	187	1.2e-80	263.4	TIGR03137	peroxiredoxin
2930936787	480	7	478	0.0e+00	692.9	TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
2930936791	495	5	492	0.0e+00	560.1	TIGR00871	glucose-6-phosphate 1-dehydrogenase
2930936807	477	23	449	1.6e-79	261.5	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930936820	778	70	481	9.7e-51	166.3	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
2930936825	993	8	30	2.5e-09	30.4	TIGR03715	KxYKxGKxW signal peptide
2930936825	993	960	992	1.0e-04	16.7	TIGR01167	LPXTG-motif cell wall anchor domain
2930936833	395	1	395	0.0e+00	457.3	TIGR00016	acetate kinase
2930936838	445	21	416	3.9e-50	164.5	TIGR00797	putative efflux protein, MATE family
2930936840	472	20	461	9.6e-90	294.9	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930936847	522	12	516	0.0e+00	694.2	TIGR01314	gluconate kinase, FGGY type
2930936848	300	1	300	5.1e-118	387.3	TIGR00872	6-phosphogluconate dehydrogenase (decarboxylating)
2930936852	492	35	480	1.1e-128	423.2	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930936857	464	12	441	1.8e-64	211.9	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930936862	167	13	166	1.5e-47	154.8	TIGR00011	Cys-tRNA(Pro) deacylase
2930936865	160	9	156	1.1e-40	132.9	TIGR01462	transcription elongation factor GreA
2930936872	295	16	295	6.9e-54	176.8	TIGR00005	pseudouridine synthase, RluA family
2930936875	571	6	500	2.3e-65	214.9	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930936881	337	235	322	1.6e-23	76.4	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
2930936883	337	2	330	9.1e-97	317.7	TIGR00545	lipoyltransferase and lipoate-protein ligase
2930936888	449	5	443	0.0e+00	698.3	TIGR02630	xylose isomerase
2930936889	502	6	485	0.0e+00	563.2	TIGR01312	D-xylulose kinase
2930936890	457	2	438	4.6e-116	382	TIGR00879	MFS transporter, sugar porter (SP) family
2930936891	259	6	259	1.0e-113	372.6	TIGR02415	acetoin reductases
2930936895	169	16	166	1.6e-34	112.5	TIGR00481	Raf kinase inhibitor-like protein, YbhB/YbcL family
2930936896	393	10	374	5.6e-87	286	TIGR01910	acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase
2930936902	480	10	463	7.7e-119	391	TIGR00931	Na+/H+ antiporter NhaC
2930936926	524	37	435	4.0e-102	336.1	TIGR01197	NRAMP (natural resistance-associated macrophage protein) metal ion transporters
2930936928	328	6	326	0.0e+00	570.3	TIGR01306	guanosine monophosphate reductase, bacterial
2930936929	428	5	427	0.0e+00	609.9	TIGR00184	adenylosuccinate synthase
2930936930	432	1	429	0.0e+00	536.7	TIGR00928	adenylosuccinate lyase
2930936943	504	8	500	0.0e+00	680	TIGR01311	glycerol kinase
2930936957	147	5	143	7.9e-28	91.4	TIGR01753	flavodoxin, short chain
2930936978	690	92	685	0.0e+00	589.3	TIGR01511	copper-(or silver)-translocating P-type ATPase
2930936979	148	9	138	1.9e-48	157.7	TIGR02698	copper transport repressor, CopY/TcrY family
2930936982	641	67	629	0.0e+00	632.8	TIGR01525	heavy metal translocating P-type ATPase
2930936987	347	15	337	1.4e-82	271	TIGR01430	adenosine deaminase
2930936991	194	10	181	5.6e-42	137.1	TIGR02227	signal peptidase I, bacterial type
2930936992	130	5	130	6.6e-43	139.7	TIGR01354	cytidine deaminase, homotetrameric
2930936995	443	12	437	1.4e-106	350.4	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930936997	758	128	738	0.0e+00	580.4	TIGR00630	excinuclease ABC, A subunit
2930937004	401	11	372	1.7e-128	422.4	TIGR01186	glycine betaine/L-proline transport ATP binding subunit
2930937007	317	10	305	9.9e-65	212.6	TIGR01413	Dyp-type peroxidase family
2930937008	388	5	383	8.6e-119	390.5	TIGR04350	putative C-S lyase
2930937019	250	42	232	5.7e-21	69	TIGR01528	nicotinamide mononucleotide transporter PnuC
2930937021	586	6	575	0.0e+00	640.7	TIGR02720	pyruvate oxidase
2930937029	172	76	159	5.6e-30	97	TIGR00589	O-6-methylguanine DNA methyltransferase
2930937037	271	23	271	1.1e-97	320.1	TIGR01832	2-deoxy-D-gluconate 3-dehydrogenase
2930937038	335	1	316	8.1e-107	351.1	TIGR00793	2-keto-3-deoxygluconate transporter
2930937040	217	6	208	3.8e-50	163.8	TIGR01182	Entner-Doudoroff aldolase
2930937043	459	42	423	1.2e-114	377.3	TIGR01197	NRAMP (natural resistance-associated macrophage protein) metal ion transporters
2930937044	284	6	281	1.7e-81	267.1	TIGR00762	EDD domain protein, DegV family
2930937046	108	4	103	6.7e-35	113.1	TIGR01068	thioredoxin
2930937048	130	5	119	1.4e-22	74.1	TIGR00494	protein CrcB
2930937049	118	3	117	1.0e-21	71.2	TIGR00494	protein CrcB
2930937054	437	10	435	3.4e-54	178.1	TIGR00410	PTS system, lactose/cellobiose family IIC component
2930937063	388	11	286	1.9e-71	234.4	TIGR00932	transporter, monovalent cation:proton antiporter-2 (CPA2) family
2930937075	272	6	264	1.3e-47	156.2	TIGR00099	Cof subfamily of IIB subfamily of haloacid dehalogenase superfamily
2930937078	142	2	115	3.7e-29	95.1	TIGR01617	transcriptional regulator, Spx/MgsR family
2930937081	695	5	27	9.7e-12	38	TIGR03715	KxYKxGKxW signal peptide
2930937081	695	660	694	8.3e-08	26.4	TIGR01167	LPXTG-motif cell wall anchor domain
2930937099	443	411	443	3.9e-05	18	TIGR01167	LPXTG-motif cell wall anchor domain
2930937100	602	63	593	0.0e+00	519.3	TIGR01525	heavy metal translocating P-type ATPase
2930937104	201	12	201	2.2e-52	171.5	TIGR00779	cadmium resistance transporter (or sequestration) family protein
2930937105	343	7	341	5.2e-50	164.2	TIGR00698	conserved hypothetical integral membrane protein
2930937107	396	45	183	6.7e-36	117.2	TIGR00880	Multidrug resistance protein
2930937114	317	1	306	2.4e-96	316.3	TIGR00124	[citrate (pro-3S)-lyase] ligase
2930937115	97	1	94	5.7e-38	123.2	TIGR01608	citrate lyase acyl carrier protein
2930937116	304	7	294	0.0e+00	481.5	TIGR01588	citrate lyase, beta subunit
2930937117	512	24	512	0.0e+00	804.3	TIGR01584	citrate lyase, alpha subunit
2930937118	180	12	178	2.2e-50	164.5	TIGR03124	holo-ACP synthase CitX
2930937119	286	8	279	1.1e-97	320.4	TIGR03125	triphosphoribosyl-dephospho-CoA synthase CitG
2930937131	379	2	378	0.0e+00	486.1	TIGR00045	glycerate kinase
2930937137	467	18	456	1.6e-51	169	TIGR00800	NCS1 nucleoside transporter family
2930937143	455	37	418	4.8e-112	368.7	TIGR01197	NRAMP (natural resistance-associated macrophage protein) metal ion transporters
2930937145	419	1	418	3.1e-126	415.4	TIGR00234	tyrosyl-tRNA synthetase
2930937158	393	11	287	1.4e-72	238.2	TIGR00932	transporter, monovalent cation:proton antiporter-2 (CPA2) family
2930937164	180	4	180	4.9e-64	209.2	TIGR03127	6-phospho 3-hexuloisomerase
2930937170	338	2	334	3.4e-82	270	TIGR00233	tryptophanyl-tRNA synthetase
2930937171	306	3	304	2.1e-87	286.8	TIGR03706	exopolyphosphatase
2930937172	419	2	373	4.0e-89	293.2	TIGR00532	hydroxymethylglutaryl-CoA reductase, degradative
2930937177	677	534	677	1.9e-40	131.6	TIGR00399	methionyl-tRNA synthetase C-terminal region/beta chain
2930937177	677	7	522	0.0e+00	558.7	TIGR00398	methionine--tRNA ligase
2930937178	258	3	255	2.8e-80	263	TIGR00010	hydrolase, TatD family
2930937179	190	3	179	8.5e-56	182.5	TIGR00334	ribonuclease M5
2930937180	296	23	290	4.2e-85	278.8	TIGR00755	ribosomal RNA small subunit methyltransferase A
2930937182	284	1	284	4.3e-87	286	TIGR00154	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
2930937185	466	21	456	0.0e+00	474.4	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930937200	279	3	267	5.4e-109	356.9	TIGR01743	pur operon repressor, Bacillus subtilis type
2930937201	459	4	454	0.0e+00	580	TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
2930937202	326	10	318	5.5e-124	406.7	TIGR01251	ribose-phosphate pyrophosphokinase
