gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2930936637	452	5	68	2	53	6.2e-08	26.2	pfam11638	DnaA_N	64
2930936637	452	116	334	1	218	1.6e-100	329.2	pfam00308	Bac_DnaA	219
2930936637	452	361	429	3	69	3.6e-33	107.3	pfam08299	Bac_DnaA_C	69
2930936638	379	1	126	1	121	1.6e-33	109.2	pfam00712	DNA_pol3_beta	121
2930936638	379	135	250	2	116	2.1e-36	118.5	pfam02767	DNA_pol3_beta_2	116
2930936638	379	252	377	2	120	1.4e-29	96.2	pfam02768	DNA_pol3_beta_3	121
2930936640	75	5	69	2	59	1.1e-27	89.5	pfam13275	S4_2	65
2930936641	384	2	354	1	197	1.7e-17	57.3	pfam02463	SMC_N	220
2930936642	647	40	187	3	109	4.7e-22	72.5	pfam02518	HATPase_c	111
2930936642	647	235	405	1	174	4.1e-65	212.3	pfam00204	DNA_gyraseB	175
2930936642	647	433	545	1	100	1.4e-18	60.9	pfam01751	Toprim	103
2930936642	647	575	637	3	63	3.0e-32	104.5	pfam00986	DNA_gyraseB_C	63
2930936643	844	34	474	1	424	0.0e+00	535.8	pfam00521	DNA_topoisoIV	427
2930936643	844	506	553	2	47	1.2e-13	44.1	pfam03989	DNA_gyraseA_C	48
2930936643	844	556	606	1	47	7.1e-13	41.7	pfam03989	DNA_gyraseA_C	48
2930936643	844	614	659	2	48	3.3e-13	42.8	pfam03989	DNA_gyraseA_C	48
2930936643	844	662	709	4	47	1.2e-12	40.9	pfam03989	DNA_gyraseA_C	48
2930936643	844	712	759	2	36	2.9e-10	33.3	pfam03989	DNA_gyraseA_C	48
2930936643	844	763	810	1	42	2.2e-13	43.3	pfam03989	DNA_gyraseA_C	48
2930936644	98	5	95	1	90	5.5e-26	84.5	pfam01250	Ribosomal_S6	90
2930936645	188	2	103	1	104	3.0e-37	120.7	pfam00436	SSB	104
2930936646	78	21	72	2	52	1.6e-29	95.7	pfam01084	Ribosomal_S18	52
2930936647	395	55	393	1	338	1.2e-44	146.8	pfam01979	Amidohydro_1	344
2930936648	535	75	460	2	374	1.6e-58	192.2	pfam00496	SBP_bac_5	377
2930936650	394	54	391	1	326	1.9e-45	149.4	pfam01979	Amidohydro_1	344
2930936651	533	73	458	1	374	2.0e-64	211.6	pfam00496	SBP_bac_5	377
