gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2930942091	443	411	443	3.7e-05	18	TIGR01167	LPXTG-motif cell wall anchor domain
2930942092	602	63	593	0.0e+00	519.3	TIGR01525	heavy metal translocating P-type ATPase
2930942096	201	12	201	9.1e-53	172.6	TIGR00779	cadmium resistance transporter (or sequestration) family protein
2930942097	343	7	341	5.0e-50	164.2	TIGR00698	conserved hypothetical integral membrane protein
2930942099	396	45	183	6.5e-36	117.2	TIGR00880	Multidrug resistance protein
2930942106	317	1	306	2.3e-96	316.3	TIGR00124	[citrate (pro-3S)-lyase] ligase
2930942107	97	1	94	5.5e-38	123.2	TIGR01608	citrate lyase acyl carrier protein
2930942108	304	7	294	0.0e+00	481.5	TIGR01588	citrate lyase, beta subunit
2930942109	512	24	512	0.0e+00	803.6	TIGR01584	citrate lyase, alpha subunit
2930942110	180	12	178	4.7e-51	166.6	TIGR03124	holo-ACP synthase CitX
2930942111	286	8	279	3.3e-98	322.1	TIGR03125	triphosphoribosyl-dephospho-CoA synthase CitG
2930942123	378	2	378	0.0e+00	485.9	TIGR00045	glycerate kinase
2930942128	467	32	455	3.0e-52	171.7	TIGR02358	putative hydroxymethylpyrimidine transporter CytX
2930942134	455	37	418	7.1e-112	368.1	TIGR01197	NRAMP (natural resistance-associated macrophage protein) metal ion transporters
2930942136	419	1	418	1.5e-125	413.1	TIGR00234	tyrosyl-tRNA synthetase
2930942149	393	11	287	1.3e-72	238.2	TIGR00932	transporter, monovalent cation:proton antiporter-2 (CPA2) family
2930942155	180	4	180	6.2e-64	208.8	TIGR03127	6-phospho 3-hexuloisomerase
2930942161	338	2	334	3.3e-82	270	TIGR00233	tryptophanyl-tRNA synthetase
2930942162	306	3	304	1.5e-87	287.3	TIGR03706	exopolyphosphatase
2930942163	420	2	374	1.2e-89	294.8	TIGR00532	hydroxymethylglutaryl-CoA reductase, degradative
