gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2930960728	452	8	450	0.0e+00	573.9	TIGR00362	chromosomal replication initiator protein DnaA
2930960729	379	1	378	1.2e-105	347.2	TIGR00663	DNA polymerase III, beta subunit
2930960731	75	4	63	3.1e-31	101.2	TIGR02988	S4 domain protein YaaA
2930960732	384	1	368	2.3e-125	412.2	TIGR00611	recF protein
2930960733	647	15	647	0.0e+00	973	TIGR01059	DNA gyrase, B subunit
2930960734	844	10	811	0.0e+00	1196.9	TIGR01063	DNA gyrase, A subunit
2930960736	98	3	98	2.8e-24	79	TIGR00166	ribosomal protein S6
2930960737	188	1	188	1.6e-48	158.9	TIGR00621	single stranded DNA-binding protein (ssb)
2930960738	78	8	77	1.8e-31	102.1	TIGR00165	ribosomal protein S18
2930960748	152	1	150	5.6e-45	147.2	TIGR00158	ribosomal protein L9
2930960750	462	10	457	0.0e+00	589	TIGR00665	replicative DNA helicase
2930960766	104	1	104	1.8e-36	119.2	TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
2930960787	614	152	177	6.5e-09	29.2	TIGR02167	bacterial surface protein 26-residue repeat
2930960799	690	276	301	1.2e-09	31.6	TIGR02167	bacterial surface protein 26-residue repeat
2930960799	690	338	361	1.3e-08	28.3	TIGR02167	bacterial surface protein 26-residue repeat
2930960799	690	362	384	2.3e-06	21.1	TIGR02167	bacterial surface protein 26-residue repeat
2930960799	690	658	689	8.5e-07	23.3	TIGR01167	LPXTG-motif cell wall anchor domain
2930960816	108	4	108	4.6e-28	91.7	TIGR03061	YhgE/Pip N-terminal domain
2930960817	305	98	301	8.8e-50	163	TIGR03062	YhgE/Pip C-terminal domain
2930960823	121	3	120	1.9e-23	76.6	TIGR00369	uncharacterized domain 1
2930960824	273	12	269	1.7e-120	395.1	TIGR01929	naphthoate synthase (dihydroxynaphthoic acid synthetase)
2930960825	477	26	467	1.3e-129	426.7	TIGR01923	O-succinylbenzoate-CoA ligase
2930960828	369	1	362	1.3e-66	219.1	TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
2930960830	502	12	502	0.0e+00	662.8	TIGR00499	lysyl-tRNA synthetase, eukaryotic and non-spirochete bacterial
2930960838	501	6	500	0.0e+00	446.3	TIGR00910	glutamate:gamma-aminobutyrate antiporter
2930960839	479	20	460	0.0e+00	529.1	TIGR01788	glutamate decarboxylase
2930960840	503	10	502	0.0e+00	500.1	TIGR00464	glutamyl-tRNA synthetase, bacterial family
2930960855	480	7	478	0.0e+00	692.8	TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
2930960859	495	5	492	0.0e+00	560.9	TIGR00871	glucose-6-phosphate 1-dehydrogenase
2930960879	651	1	151	2.4e-24	79.7	TIGR00231	small GTP-binding protein domain
2930960886	299	2	291	1.7e-88	290.7	TIGR01250	proline-specific peptidase, Bacillus coagulans-type subfamily
2930960889	239	4	231	1.6e-56	185.2	TIGR01740	orotidine 5'-phosphate decarboxylase, subfamily 1
2930960890	210	10	179	1.3e-42	139.2	TIGR00336	orotate phosphoribosyltransferase
2930960899	482	450	481	2.5e-05	18.7	TIGR01167	LPXTG-motif cell wall anchor domain
2930960903	389	7	387	0.0e+00	461.1	TIGR01930	acetyl-CoA acetyltransferases
2930960904	347	5	336	0.0e+00	577.3	TIGR04384	putrescine carbamoyltransferase
2930960906	364	6	363	0.0e+00	615.7	TIGR03380	agmatine deiminase
2930960907	313	4	313	2.8e-122	401.3	TIGR00746	carbamate kinase
2930960908	370	5	362	0.0e+00	579.5	TIGR03380	agmatine deiminase
2930960912	320	1	319	1.6e-52	172.4	TIGR00946	he Auxin Efflux Carrier (AEC) Family
2930960913	165	5	162	4.0e-48	157.3	TIGR02359	energy coupling factor transporter S component ThiW
2930960919	420	3	411	2.7e-106	349.8	TIGR00879	MFS transporter, sugar porter (SP) family
2930960921	217	2	197	1.3e-33	110.5	TIGR01428	2-haloalkanoic acid dehalogenase, type II
2930960923	325	111	324	1.2e-35	116.9	TIGR01297	cation diffusion facilitator family transporter
2930960942	1351	5	1037	0.0e+00	550.2	TIGR01865	CRISPR subtype II/NMENI RNA-guided endonuclease Cas9/Csn1
2930960943	301	3	272	3.7e-79	259.7	TIGR03639	CRISPR-associated endonuclease Cas1, subtype II/NMENI
2930960944	101	1	100	2.6e-21	69.5	TIGR01573	CRISPR-associated endonuclease Cas2
2930960945	459	10	449	7.0e-99	325.1	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930960958	333	1	321	1.7e-22	73.6	TIGR01202	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase
2930960962	264	4	255	4.3e-72	236.2	TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
2930960964	186	11	182	7.0e-80	260.6	TIGR01440	TIGR01440 family protein
2930960974	394	4	393	3.6e-108	356	TIGR00804	nucleoside transporter
2930960984	328	45	326	1.1e-63	208.9	TIGR01728	ABC transporter, substrate-binding protein, aliphatic sulfonates family
2930960986	692	4	508	9.8e-87	285.4	TIGR00831	Na+/H+ antiporter, bacterial form
2930960987	157	27	140	9.6e-33	106.8	TIGR01617	transcriptional regulator, Spx/MgsR family
2930960989	309	2	307	2.6e-80	263.7	TIGR00745	2-dehydropantoate 2-reductase
2930961003	215	3	207	4.8e-49	160.6	TIGR00197	yjeF N-terminal region
2930961012	341	19	341	8.7e-78	255.9	TIGR00796	branched-chain amino acid uptake carrier
2930961017	602	6	596	0.0e+00	617.3	TIGR02290	oligoendopeptidase, pepF/M3 family
2930961020	535	4	518	0.0e+00	531	TIGR03319	ribonuclease Y
2930961036	487	48	478	0.0e+00	469.6	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
2930961038	252	5	250	4.6e-80	262.4	TIGR00245	TIGR00245 family protein
2930961040	262	6	256	3.9e-72	236.5	TIGR00694	hydroxyethylthiazole kinase
2930961041	271	8	263	3.6e-97	318.4	TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
2930961042	217	11	211	9.9e-57	185.2	TIGR00693	thiamine-phosphate diphosphorylase
2930961068	419	4	417	2.1e-94	310.6	TIGR00804	nucleoside transporter
2930961073	242	25	220	2.8e-47	154.5	TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
2930961074	278	24	276	5.4e-108	353.9	TIGR04285	nucleoid occlusion protein
2930961076	294	25	208	1.6e-60	197.9	TIGR00180	ParB/RepB/Spo0J family partition protein
2930961078	366	1	366	0.0e+00	512.4	TIGR00092	GTP-binding protein YchF
2930961085	1030	175	199	1.4e-04	15.9	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	207	234	7.7e-06	19.9	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	242	269	1.4e-04	16	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	270	297	8.9e-07	22.9	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	298	325	2.4e-07	24.7	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	326	353	1.3e-06	22.4	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	6	169	4.8e-61	199	TIGR03061	YhgE/Pip N-terminal domain
2930961085	1030	635	662	2.9e-05	18.1	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	677	704	6.0e-06	20.2	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	727	753	1.0e-08	29	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2930961085	1030	799	1003	1.3e-65	214.7	TIGR03062	YhgE/Pip C-terminal domain
2930961089	266	18	242	4.3e-24	79.7	TIGR00346	4-azaleucine resistance probable transporter AzlC
2930961095	663	629	662	2.4e-06	21.9	TIGR01167	LPXTG-motif cell wall anchor domain
2930961096	230	2	230	7.4e-111	363.2	TIGR01258	phosphoglycerate mutase, BPG-dependent, family 1
2930961103	539	174	469	3.8e-48	157.7	TIGR01613	phage/plasmid primase, P4 family, C-terminal domain
2930961104	58	1	50	1.3e-06	22.5	TIGR01764	DNA binding domain, excisionase family
2930961122	444	1	407	4.1e-84	276.8	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930961124	670	5	504	9.1e-75	245.9	TIGR00831	Na+/H+ antiporter, bacterial form
2930961128	444	10	438	4.7e-124	408.7	TIGR01887	dipeptidase, putative
2930961133	410	5	410	0.0e+00	540.2	TIGR01078	arginine deiminase
2930961134	343	13	336	2.6e-115	378.6	TIGR00658	ornithine carbamoyltransferase
2930961135	470	5	470	0.0e+00	701.6	TIGR03810	arginine-ornithine antiporter
2930961137	314	4	314	3.0e-130	427.5	TIGR00746	carbamate kinase
2930961142	300	9	287	5.1e-56	184.1	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930961144	463	3	463	0.0e+00	596.2	TIGR00457	asparaginyl-tRNA synthetase
2930961155	262	2	251	5.5e-86	281.9	TIGR00500	methionine aminopeptidase, type I
2930961156	268	4	263	3.0e-51	168.2	TIGR00099	Cof subfamily of IIB subfamily of haloacid dehalogenase superfamily
2930961159	251	4	227	7.8e-32	104.6	TIGR00099	Cof subfamily of IIB subfamily of haloacid dehalogenase superfamily
2930961169	204	2	204	2.9e-78	256.5	TIGR00504	pyroglutamyl-peptidase I
2930961170	216	6	208	2.1e-51	168.6	TIGR00861	MIP family channel proteins
2930961171	405	271	302	6.7e-11	35.7	TIGR02601	autotransporter-associated beta strand repeat
2930961173	136	1	136	1.4e-25	83.5	TIGR00079	peptide deformylase
2930961196	186	3	182	7.8e-66	215	TIGR00624	DNA-3-methyladenine glycosylase I
2930961197	377	1	242	4.6e-50	164.5	TIGR00619	exonuclease SbcD
2930961206	267	15	267	3.7e-57	187.7	TIGR00363	lipoprotein, YaeC family
2930961214	346	4	321	3.7e-51	168	TIGR00545	lipoyltransferase and lipoate-protein ligase
2930961217	1112	13	35	7.0e-11	35.4	TIGR03715	KxYKxGKxW signal peptide
2930961219	379	11	283	1.3e-88	290.9	TIGR01084	A/G-specific adenine glycosylase
2930961231	271	8	264	6.5e-85	278.2	TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
2930961238	526	37	489	8.2e-107	351.4	TIGR00842	choline/carnitine/betaine transport
2930961240	230	6	194	4.5e-56	183.6	TIGR01990	beta-phosphoglucomutase
2930961242	109	3	109	5.7e-25	81.8	TIGR00567	DNA-3-methyladenine glycosylase
2930961246	238	12	236	7.3e-75	244.9	TIGR01934	ubiquinone/menaquinone biosynthesis methyltransferases
2930961247	265	2	254	9.8e-82	267.9	TIGR00500	methionine aminopeptidase, type I
2930961249	470	15	452	5.3e-65	213.8	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930961252	286	8	286	8.0e-56	182.9	TIGR00507	shikimate dehydrogenase
2930961264	474	5	464	1.1e-129	426.7	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930961265	389	4	387	3.8e-117	385.2	TIGR00131	galactokinase
2930961266	334	2	327	0.0e+00	449.4	TIGR01179	UDP-glucose-4-epimerase GalE
2930961267	487	5	487	0.0e+00	693	TIGR01239	galactose-1-phosphate uridylyltransferase, family 2
2930961270	750	21	750	0.0e+00	841.3	TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
2930961271	177	4	175	4.6e-54	176.5	TIGR00636	ATP:cob(I)alamin adenosyltransferase
2930961293	296	1	280	8.1e-85	278.3	TIGR02136	phosphate binding protein
2930961294	317	32	312	1.4e-88	290.5	TIGR02138	phosphate ABC transporter, permease protein PstC
2930961295	296	7	288	5.3e-78	255.7	TIGR00974	phosphate ABC transporter, permease protein PstA
2930961296	267	22	267	1.5e-111	365.4	TIGR00972	phosphate ABC transporter, ATP-binding protein
2930961300	370	36	326	1.8e-112	369.4	TIGR01187	spermidine/putrescine ABC transporter ATP-binding subunit
2930961304	327	41	311	4.5e-98	321.9	TIGR00802	high-affinity nickel-transporter, HoxN/HupN/NixA family
2930961305	242	11	198	2.5e-39	129.1	TIGR00861	MIP family channel proteins
2930961306	278	7	262	2.0e-60	198.2	TIGR00268	TIGR00268 family protein
2930961307	410	3	396	3.1e-86	283.6	TIGR00299	TIGR00299 family protein
2930961311	468	18	449	0.0e+00	631.4	TIGR01788	glutamate decarboxylase
2930961312	120	1	120	9.0e-62	200.8	TIGR02328	conserved hypothetical protein
