gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2930960728	452	100	1	452	1	452	0.0e+00	1030	KO:K02313	chromosomal replication initiator protein		
2930960729	379	100	1	379	1	379	0.0e+00	836	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	
2930960732	384	99.74	1	384	1	384	0.0e+00	856	KO:K03629	DNA replication and repair protein RecF		
2930960733	647	100	1	647	1	647	0.0e+00	1480	KO:K02470	DNA gyrase subunit B [EC:5.99.1.3]	EC:5.99.1.3	
2930960734	844	100	1	844	1	844	0.0e+00	1880	KO:K02469	DNA gyrase subunit A [EC:5.99.1.3]	EC:5.99.1.3	
2930960736	98	100	1	98	1	98	4.4e-66	227	KO:K02990	small subunit ribosomal protein S6		
2930960737	188	100	1	188	1	188	0.0e+00	440	KO:K03111	single-strand DNA-binding protein		
2930960738	78	100	1	78	1	78	5.9e-49	176	KO:K02963	small subunit ribosomal protein S18		
2930960741	535	99.44	1	535	1	535	0.0e+00	1220	KO:K02035	peptide/nickel transport system substrate-binding protein		
2930960741	535	99.44	1	535	1	535	0.0e+00	1220	KO:K15580	oligopeptide transport system substrate-binding protein		
2930960744	533	99.62	1	533	1	533	0.0e+00	1210	KO:K02035	peptide/nickel transport system substrate-binding protein		
2930960744	533	99.62	1	533	1	533	0.0e+00	1210	KO:K15580	oligopeptide transport system substrate-binding protein		
2930960746	244	99.59	1	244	1	244	0.0e+00	534	KO:K07090	uncharacterized protein		
2930960748	152	100	1	152	1	152	6.2e-102	334	KO:K02939	large subunit ribosomal protein L9		
2930960750	462	100	1	462	1	462	0.0e+00	1030	KO:K02314	replicative DNA helicase [EC:3.6.4.12]	EC:3.6.4.12	
2930960755	536	99.63	1	536	1	536	0.0e+00	1220	KO:K15580	oligopeptide transport system substrate-binding protein		
2930960759	238	100	1	238	1	238	0.0e+00	545	KO:K07668	two-component system, OmpR family, response regulator VicR		
2930960765	447	100	1	447	1	447	0.0e+00	977	KO:K04771	serine protease Do [EC:3.4.21.107]	EC:3.4.21.107	
2930960770	284	72.44	1	283	1	283	0.0e+00	480	KO:K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	EC:1.6.5.2	
2930960772	313	66.56	3	310	13	320	0.0e+00	481	KO:K09936	bacterial/archaeal transporter family-2 protein		
2930960792	627	99.2	1	627	1	627	0.0e+00	1420	KO:K01081	5'-nucleotidase [EC:3.1.3.5]	EC:3.1.3.5	
2930960804	497	99.4	1	497	1	497	0.0e+00	1130	KO:K19350	lincosamide and streptogramin A transport system ATP-binding/permease protein		
2930960805	205	100	1	205	1	205	0.0e+00	461	KO:K06895	L-lysine exporter family protein LysE/ArgO		
2930960809	198	98.99	1	198	1	198	0.0e+00	461	KO:K00661	maltose O-acetyltransferase [EC:2.3.1.79]	EC:2.3.1.79	
2930960809	198	98.99	1	198	1	198	0.0e+00	461	KO:K00680			
2930960812	143	99.3	1	143	1	143	1.4e-100	329	KO:K03827	putative acetyltransferase [EC:2.3.1.-]	EC:2.3.1.-	
