gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2930960728	452	99.77	8	448	1	432	0.0e+00	550.1	COG0593	Chromosomal replication initiation ATPase DnaA	408
2930960729	379	100	1	378	1	365	2.1e-109	359.7	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2930960731	75	87.67	1	72	3	66	1.2e-28	92.3	COG2501	Ribosome-associated protein YbcJ, S4-like RNA binding protein	73
2930960732	384	99.45	1	370	1	361	3.4e-127	418	COG1195	Recombinational DNA repair ATPase RecF	363
2930960733	647	99.38	10	647	2	638	0.0e+00	956.4	COG0187	DNA gyrase/topoisomerase IV, subunit B	635
2930960734	844	98.89	2	812	9	812	0.0e+00	1147.2	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2930960735	420	98.05	4	408	5	406	4.5e-67	220.4	COG3464	Transposase	402
2930960736	98	83.04	4	98	2	94	1.1e-31	102.7	COG0360	Ribosomal protein S6	112
2930960737	188	99.42	1	188	2	171	3.3e-52	169	COG0629	Single-stranded DNA-binding protein	167
2930960738	78	83.54	1	72	14	79	4.0e-31	101.2	COG0238	Ribosomal protein S18	75
2930960739	217	49.14	1	217	200	399	6.9e-46	150.5	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930960740	184	32.19	10	177	42	172	3.4e-12	39.6	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930960741	535	98.78	1	535	5	571	6.5e-98	322.4	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930960743	394	88.7	18	393	36	396	6.3e-67	219.6	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930960744	533	98.95	1	533	4	571	1.4e-102	337.9	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930960745	188	51.2	2	185	16	122	9.2e-17	55.1	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930960746	244	94.21	1	243	8	251	9.6e-26	84.2	COG0730	Uncharacterized membrane protein YfcA	258
2930960747	671	98.78	10	668	4	650	0.0e+00	759.9	COG3887	c-di-AMP phosphodiesterase, consists of a GGDEF-like and DHH domains	655
2930960748	152	99.32	1	151	1	147	4.4e-53	173.1	COG0359	Ribosomal protein L9	148
2930960750	462	99.54	9	457	2	435	0.0e+00	574.3	COG0305	Replicative DNA helicase	435
2930960751	176	75.59	1	167	1	161	2.2e-21	69.4	COG0655	Multimeric flavodoxin WrbA	207
2930960752	391	48.83	196	386	5	191	4.9e-19	33.2	COG0477	MFS family permease	338
2930960752	391	53.52	3	219	5	209	4.9e-19	30.6	COG0477	MFS family permease	338
2930960753	89	41.34	2	88	69	142	1.0e-04	15.8	COG3134	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	179
2930960755	536	98.43	1	536	7	571	1.5e-99	327.8	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930960759	238	99.57	3	234	1	231	2.6e-90	295.4	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2930960761	349	74.73	1	348	117	459	0.0e+00	519.4	COG5002	Signal transduction histidine kinase	459
2930960762	433	95.22	2	432	11	428	5.4e-36	117.6	COG4863	Two-component signal transduction system YycFG, regulatory protein YycH	439
2930960763	284	99.62	1	269	1	263	1.6e-32	106.4	COG4853	Two-component signal transduction system YycFG, regulatory protein YycI	264
2930960764	275	98.9	10	261	3	272	1.7e-53	175.2	COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	269
2930960765	447	92.88	34	438	22	360	4.2e-91	299.2	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	347
2930960766	104	66.03	1	104	54	156	2.7e-42	138.3	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	155
2930960767	388	73.42	224	388	39	154	1.4e-08	28.8	COG1555	DNA uptake protein ComE and related DNA-binding proteins	149
