gene_oid	gene_length	superfam_id	db_name	percent_identity	query_start	query_end	evalue	bit_score	align_length
2930960728	452	52540	SuperFamily	97.65	114	330	3.3e-45	147.6	217
2930960728	452	48295	SuperFamily	90	346	452	1.2e-36	118	107
2930960729	379	55979	SuperFamily	99.17	1	127	8.6e-65	208.8	127
2930960729	379	55979	SuperFamily	97.5	132	253	8.6e-65	208.8	122
2930960729	379	55979	SuperFamily	94.17	261	379	8.6e-65	208.8	119
2930960731	75	55174	SuperFamily	82.28	1	69	4.0e-19	61.2	69
2930960732	384	52540	SuperFamily	97.66	1	376	1.5e-45	150	376
2930960733	647	55874	SuperFamily	97.18	14	231	2.2e-68	222.9	218
2930960733	647	54211	SuperFamily	99.42	235	406	1.7e-63	206.2	172
2930960733	647	52540	SuperFamily	46.45	462	626	1.8e-03	12.5	165
2930960734	844	56719	SuperFamily	99.79	32	489	0.0e+00	597.1	458
2930960734	844	101904	SuperFamily	97.52	501	826	3.8e-105	344.6	326
2930960735	420	88659	SuperFamily	56.34	90	145	3.9e-06	20.4	56
2930960736	98	54995	SuperFamily	89.62	1	98	2.1e-31	101.3	98
2930960737	188	50249	SuperFamily	76.62	1	188	2.2e-55	181.8	188
2930960738	78	46911	SuperFamily	90.24	1	78	1.8e-30	97.5	78
2930960739	217	51556	SuperFamily	57.42	1	178	1.8e-51	169.6	178
2930960740	184	51338	SuperFamily	97.94	2	105	3.2e-13	43.3	104
2930960741	535	53850	SuperFamily	95.94	23	534	9.0e-94	308.5	512
2930960743	394	51338	SuperFamily	96.36	1	57	2.4e-05	18.1	57
2930960743	394	51556	SuperFamily	99.34	58	355	8.8e-81	266	298
2930960744	533	53850	SuperFamily	96.91	22	533	8.7e-97	318.4	512
2930960745	188	46689	SuperFamily	92.31	1	77	1.1e-16	53.9	77
2930960745	188	48498	SuperFamily	41.04	81	182	1.7e-03	12.3	102
2930960746	244	81342	SuperFamily	50.93	57	216	5.3e+00	.2	160
2930960747	671	55073	SuperFamily	92.59	162	312	1.8e-05	18.3	151
2930960747	671	64182	SuperFamily	99.67	348	657	1.7e-70	231.4	310
2930960748	152	55658	SuperFamily	98.28	1	58	5.6e-17	53.7	58
2930960748	152	55653	SuperFamily	96.81	56	151	1.7e-28	91.9	96
2930960749	72	103473	SuperFamily	30.7	2	66	1.0e-02	8.6	65
2930960750	462	48024	SuperFamily	97.37	8	121	3.4e-39	126.5	114
2930960750	462	52540	SuperFamily	95.87	182	449	1.6e-49	162.2	268
2930960751	176	52218	SuperFamily	66.81	1	174	1.5e-29	96.9	174
2930960752	391	103473	SuperFamily	95.44	3	389	5.2e-45	147.6	387
2930960755	536	53850	SuperFamily	95.94	20	536	3.1e-105	346.2	517
2930960756	81	55347	SuperFamily	16.84	1	81	6.6e-03	9.6	81
2930960757	298	55486	SuperFamily	83.93	2	150	1.8e-18	60.8	149
2930960757	298	101756	SuperFamily	40.57	151	209	4.0e-03	10.7	59
2930960757	298	101756	SuperFamily	36.79	215	283	4.0e-03	10.7	69
2930960759	238	52172	SuperFamily	81.05	1	135	4.3e-44	142.7	135
2930960759	238	46894	SuperFamily	95.28	127	233	8.4e-33	105.7	107
2930960761	349	55785	SuperFamily	96.49	1	105	2.4e-12	40.8	105
2930960761	349	55874	SuperFamily	96.84	164	347	3.1e-52	169.8	184
2930960763	284	51126	SuperFamily	62.34	24	283	4.8e-01	3.7	260
2930960764	275	56281	SuperFamily	95.13	13	254	3.1e-40	132.5	242
2930960765	447	50494	SuperFamily	98.59	87	329	3.6e-54	176.8	243
2930960765	447	50156	SuperFamily	97	331	432	8.4e-18	57.4	102
2930960766	104	75217	SuperFamily	64.97	1	102	3.5e-40	131	102
2930960767	388	47781	SuperFamily	81.54	324	388	8.6e-07	22.6	65
2930960769	155	46785	SuperFamily	98.55	2	138	3.4e-28	91.6	137
2930960770	284	51735	SuperFamily	74	2	279	4.9e-43	141.2	278
2930960771	304	46785	SuperFamily	66.14	3	112	2.1e-20	66.3	110
2930960772	313	54523	SuperFamily	31.94	132	250	3.3e-01	5.6	119
2930960773	208	51735	SuperFamily	97.07	1	197	6.2e-33	108.1	197
2930960774	388	51395	SuperFamily	93.95	1	355	5.9e-93	305.5	355
2930960776	181	46689	SuperFamily	90.14	7	75	1.6e-10	34.5	69
2930960778	324	47266	SuperFamily	26.32	1	41	5.5e-06	20.1	41
2930960778	324	47266	SuperFamily	37.72	43	101	5.5e-06	20.1	59
2930960778	324	47266	SuperFamily	35.09	97	162	5.5e-06	20.1	66
2930960778	324	57850	SuperFamily	36.92	169	216	2.9e-03	11.1	48
2930960779	86	57783	SuperFamily	44.74	26	53	5.1e-03	10.6	28
2930960780	597	52980	SuperFamily	31.2	43	134	1.8e-03	11.9	92
2930960781	138	46689	SuperFamily	92.13	19	130	5.5e-16	51.7	112
2930960782	72	46689	SuperFamily	42.28	5	71	1.3e-03	12.5	67
2930960783	114	53098	SuperFamily	59.52	2	112	8.6e-21	68.3	111
2930960785	307	46689	SuperFamily	49.59	3	84	5.5e-09	29.7	82
2930960785	307	46689	SuperFamily	20.33	82	136	5.5e-09	29.7	55
2930960785	307	53098	SuperFamily	89.94	154	303	2.1e-24	80	150
2930960786	118	48371	SuperFamily	66.67	10	115	4.9e-06	20.6	106
2930960789	170	54060	SuperFamily	49.52	22	157	1.6e-03	12	136
2930960790	189	50203	SuperFamily	69.39	87	157	2.8e-04	14.7	71
2930960792	627	56300	SuperFamily	98.01	65	400	5.2e-49	160.5	336
2930960792	627	55816	SuperFamily	94.63	402	610	4.6e-45	147.3	209
2930960793	163	55729	SuperFamily	87.82	1	156	1.5e-22	74.2	156
2930960795	375	101898	SuperFamily	36.2	25	240	3.8e-03	10.7	216
2930960796	113	109998	SuperFamily	60.92	22	113	3.1e-12	40.7	92
2930960797	195	54534	SuperFamily	82.5	13	128	2.6e-22	72.8	116
2930960799	690	52047	SuperFamily	77.26	213	497	6.6e-15	48.6	285
2930960801	49	46689	SuperFamily	36.17	2	45	1.1e-08	28.9	44
2930960802	330	82057	SuperFamily	91.86	25	107	1.6e-11	38.1	83
2930960802	330	82057	SuperFamily	91.86	101	186	1.6e-11	38.1	86
2930960802	330	54001	SuperFamily	85.81	187	328	2.2e-25	82.5	142
2930960803	613	102220	SuperFamily	52.73	99	181	3.3e-03	11.3	83
2930960803	613	52954	SuperFamily	58.27	359	470	7.7e-04	13.1	112
2930960804	497	52540	SuperFamily	76.16	2	222	8.5e-75	244.6	221
2930960804	497	52540	SuperFamily	75.44	279	495	8.5e-75	244.6	217
2930960806	143	46785	SuperFamily	86.42	2	143	1.5e-34	112.3	142
2930960807	317	53474	SuperFamily	78.21	16	314	7.0e-62	203.7	299
2930960808	314	101478	SuperFamily	96.35	3	311	1.1e-48	159.9	309
2930960809	198	51161	SuperFamily	92.5	3	192	4.0e-45	147.1	190
2930960810	104	51735	SuperFamily	45.57	20	101	2.3e-03	12.3	82
2930960812	143	55729	SuperFamily	96.15	1	143	1.4e-19	64.6	143
2930960813	170	54611	SuperFamily	50	1	96	7.5e-03	10.5	96
2930960814	546	53850	SuperFamily	96.13	29	543	1.3e-111	367.3	515
2930960815	211	46689	SuperFamily	70.45	1	79	2.6e-13	43.2	79
2930960816	108	53697	SuperFamily	11.2	3	103	5.0e-03	10.1	101
2930960817	305	103491	SuperFamily	37.44	50	214	2.8e-01	4.1	165
2930960817	305	103491	SuperFamily	13.98	189	301	2.8e-01	4.1	113
2930960818	282	117892	SuperFamily	99.3	33	165	1.4e-28	92.9	133
2930960819	109	47598	SuperFamily	77.27	3	66	3.1e-13	42.8	64
2930960820	245	88645	SuperFamily	22.3	33	232	7.0e-03	9.3	200
2930960822	167	103473	SuperFamily	34.9	7	150	3.0e-02	6.8	144
2930960823	121	54637	SuperFamily	89.68	1	119	6.9e-24	78	119
2930960824	273	52096	SuperFamily	94.95	1	273	5.0e-77	252.2	273
2930960825	477	56801	SuperFamily	84.29	1	476	9.7e-121	397.7	476
2930960826	180	53756	SuperFamily	26.75	5	175	2.3e-02	7.8	171
2930960827	314	158622	SuperFamily	56.1	73	167	1.1e-03	13	95
2930960828	369	53623	SuperFamily	79.91	1	207	1.2e-28	94.1	207
2930960828	369	53244	SuperFamily	94.38	207	366	9.1e-35	113.4	160
2930960829	155	63418	SuperFamily	89.8	5	100	1.2e-20	66.6	96
2930960830	502	50249	SuperFamily	99.31	10	153	8.5e-45	145.2	144
2930960830	502	55681	SuperFamily	99.71	160	500	5.2e-117	384.4	341
2930960831	114	103473	SuperFamily	26.14	2	113	4.7e-13	42.6	112
2930960832	178	103473	SuperFamily	40.29	1	177	1.3e-08	28	177
2930960833	80	103473	SuperFamily	64.27	1	79	2.1e-07	24	79
2930960837	196	46689	SuperFamily	87.32	2	68	6.6e-12	38.8	67
2930960839	479	53383	SuperFamily	96.67	10	461	2.3e-106	349.8	452
2930960840	503	52374	SuperFamily	99.67	10	325	6.9e-103	337.4	316
2930960840	503	48163	SuperFamily	99.39	326	501	5.9e-23	76	176
2930960841	304	46894	SuperFamily	48.45	107	173	1.5e-04	15.7	67
2930960841	304	46894	SuperFamily	44.33	186	235	1.5e-04	15.7	50
2930960845	428	118215	SuperFamily	100	11	407	4.0e-120	395	397
2930960848	176	52833	SuperFamily	55.6	1	149	5.7e-38	124.1	149
2930960849	115	51419	SuperFamily	22.75	5	100	3.5e-03	11	96
2930960850	213	51735	SuperFamily	91.74	1	208	4.4e-34	111.7	208
2930960852	213	47413	SuperFamily	83.33	1	71	3.6e-18	58.4	71
2930960855	480	51735	SuperFamily	93.75	4	180	2.6e-52	170.4	177
2930960855	480	48179	SuperFamily	98.99	180	480	1.7e-123	405	301
2930960856	142	46785	SuperFamily	94.44	2	142	7.8e-27	87.1	141
