gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2930960728	452	5	68	2	53	6.6e-08	26.2	pfam11638	DnaA_N	64
2930960728	452	116	334	1	218	1.7e-100	329.2	pfam00308	Bac_DnaA	219
2930960728	452	361	429	3	69	3.8e-33	107.3	pfam08299	Bac_DnaA_C	69
2930960729	379	1	126	1	121	1.7e-33	109.2	pfam00712	DNA_pol3_beta	121
2930960729	379	135	250	2	116	2.2e-36	118.5	pfam02767	DNA_pol3_beta_2	116
2930960729	379	252	377	2	120	1.5e-29	96.2	pfam02768	DNA_pol3_beta_3	121
2930960731	75	5	69	2	59	1.1e-27	89.5	pfam13275	S4_2	65
2930960732	384	2	360	1	197	1.7e-17	57.4	pfam02463	SMC_N	220
2930960733	647	40	187	3	109	4.9e-22	72.5	pfam02518	HATPase_c	111
2930960733	647	235	405	1	174	4.3e-65	212.3	pfam00204	DNA_gyraseB	175
2930960733	647	433	545	1	100	1.5e-18	60.9	pfam01751	Toprim	103
2930960733	647	575	637	3	63	3.2e-32	104.5	pfam00986	DNA_gyraseB_C	63
2930960734	844	34	474	1	424	0.0e+00	535.8	pfam00521	DNA_topoisoIV	427
2930960734	844	506	553	2	47	1.3e-13	44.1	pfam03989	DNA_gyraseA_C	48
2930960734	844	556	606	1	47	7.5e-13	41.7	pfam03989	DNA_gyraseA_C	48
2930960734	844	614	659	2	48	3.5e-13	42.8	pfam03989	DNA_gyraseA_C	48
2930960734	844	662	709	4	47	1.3e-12	40.9	pfam03989	DNA_gyraseA_C	48
2930960734	844	712	759	2	36	3.1e-10	33.3	pfam03989	DNA_gyraseA_C	48
2930960734	844	763	810	1	42	2.3e-13	43.3	pfam03989	DNA_gyraseA_C	48
2930960735	420	40	86	4	47	3.6e-12	40.6	pfam14690	zf-ISL3	47
2930960735	420	92	143	1	49	2.7e-10	33.5	pfam13542	HTH_Tnp_ISL3	52
2930960735	420	157	404	1	240	9.5e-64	209.2	pfam01610	DDE_Tnp_ISL3	240
2930960736	98	5	95	1	90	5.8e-26	84.5	pfam01250	Ribosomal_S6	90
2930960737	188	2	103	1	104	3.2e-37	120.7	pfam00436	SSB	104
2930960738	78	21	72	2	52	1.7e-29	95.7	pfam01084	Ribosomal_S18	52
2930960739	217	1	215	113	341	2.8e-30	99.6	pfam01979	Amidohydro_1	344
2930960740	184	55	177	1	88	3.2e-08	27.1	pfam01979	Amidohydro_1	344
2930960741	535	75	460	2	374	3.3e-58	191.2	pfam00496	SBP_bac_5	377
2930960743	394	54	391	1	326	2.2e-45	149.3	pfam01979	Amidohydro_1	344
2930960744	533	73	458	1	374	3.5e-64	210.9	pfam00496	SBP_bac_5	377
2930960745	188	12	58	1	47	3.8e-11	36.6	pfam00440	TetR_N	47
2930960746	244	2	238	3	235	1.9e-30	100.1	pfam01925	TauE	236
2930960747	671	350	509	1	103	3.4e-23	75.7	pfam01368	DHH	103
2930960747	671	599	658	3	67	1.3e-06	22.3	pfam02272	DHHA1	70
2930960748	152	1	47	1	47	1.3e-20	66.7	pfam01281	Ribosomal_L9_N	47
2930960748	152	63	149	1	86	1.5e-30	99.4	pfam03948	Ribosomal_L9_C	86
2930960750	462	10	112	2	103	6.1e-38	123	pfam00772	DnaB	103
2930960750	462	186	454	1	255	1.1e-111	366.1	pfam03796	DnaB_C	256
