gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2931375649	446	8	445	0.0e+00	628.7	TIGR00362	chromosomal replication initiator protein DnaA
2931375650	378	1	377	0.0e+00	464.7	TIGR00663	DNA polymerase III, beta subunit
2931375651	71	4	63	5.7e-33	107.3	TIGR02988	S4 domain protein YaaA
2931375652	370	1	368	0.0e+00	478.8	TIGR00611	recF protein
2931375654	640	10	640	0.0e+00	1075.4	TIGR01059	DNA gyrase, B subunit
2931375655	821	9	808	0.0e+00	1297.7	TIGR01063	DNA gyrase, A subunit
2931375662	488	10	456	0.0e+00	694.9	TIGR01302	inosine-5'-monophosphate dehydrogenase
2931375664	294	9	294	0.0e+00	531.1	TIGR00343	pyridoxal 5'-phosphate synthase, synthase subunit Pdx1
2931375665	196	3	185	4.3e-84	275.3	TIGR03800	pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2
2931375667	425	1	417	0.0e+00	630.7	TIGR00414	seryl-tRNA synthetase
2931375675	563	3	358	0.0e+00	484.1	TIGR02397	DNA polymerase III, subunit gamma and tau
2931375676	107	1	106	2.1e-37	121.7	TIGR00103	DNA-binding protein, YbaB/EbfC family
2931375677	198	1	196	3.3e-93	304.9	TIGR00615	recombination protein RecR
2931375679	87	4	86	4.2e-31	101.5	TIGR02862	pro-sigmaK processing inhibitor BofA
2931375689	212	1	199	2.7e-71	233.6	TIGR00041	dTMP kinase
2931375692	329	16	202	1.1e-67	221.6	TIGR00678	DNA polymerase III, delta' subunit
2931375697	292	16	292	1.2e-81	268.4	TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
2931375698	94	7	49	3.4e-12	40.3	TIGR01439	looped-hinge helix DNA binding domain, AbrB family
2931375699	664	524	664	3.7e-52	170.2	TIGR00399	methionyl-tRNA synthetase C-terminal region/beta chain
2931375699	664	8	524	0.0e+00	643.2	TIGR00398	methionine--tRNA ligase
2931375700	255	2	254	9.3e-107	350.4	TIGR00010	hydrolase, TatD family
2931375702	186	2	177	8.8e-82	267.7	TIGR00334	ribonuclease M5
2931375703	292	20	287	1.6e-92	303.7	TIGR00755	ribosomal RNA small subunit methyltransferase A
2931375704	290	4	287	0.0e+00	480.4	TIGR02855	sporulation peptidase YabG
2931375707	292	4	291	4.0e-128	421.3	TIGR00154	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
2931375708	285	3	270	0.0e+00	460	TIGR01743	pur operon repressor, Bacillus subtilis type
2931375709	125	2	124	8.8e-59	191.5	TIGR00004	reactive intermediate/imine deaminase
2931375711	456	4	455	0.0e+00	639.8	TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
2931375712	317	10	317	0.0e+00	436	TIGR01251	ribose-phosphate pyrophosphokinase
2931375713	204	4	179	3.6e-69	226.3	TIGR00731	ribosomal protein bL25, Ctc-form
2931375714	188	1	186	3.4e-80	262.5	TIGR00447	aminoacyl-tRNA hydrolase
2931375716	1177	157	1098	0.0e+00	1305.1	TIGR00580	transcription-repair coupling factor (mfd)
2931375717	178	2	177	1.7e-90	296	TIGR02851	stage V sporulation protein T
2931375719	489	239	483	5.0e-128	420.2	TIGR00444	MazG family protein
2931375721	100	17	100	9.7e-35	112.8	TIGR02892	sporulation protein YabP
2931375722	211	2	131	1.7e-49	161.7	TIGR02893	spore cortex biosynthesis protein YabQ
2931375727	827	44	805	0.0e+00	1039	TIGR02865	stage II sporulation protein E
2931375730	472	19	206	1.1e-64	212.1	TIGR02432	tRNA(Ile)-lysidine synthetase, N-terminal domain
