gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2931375649	446	6	68	3	62	3.9e-20	65.8	pfam11638	DnaA_N	64
2931375649	446	111	329	1	217	2.8e-109	358.4	pfam00308	Bac_DnaA	219
2931375649	446	356	424	1	69	1.1e-32	106.3	pfam08299	Bac_DnaA_C	69
2931375650	378	1	127	1	121	5.5e-44	143.6	pfam00712	DNA_pol3_beta	121
2931375650	378	136	251	1	116	2.9e-43	141.2	pfam02767	DNA_pol3_beta_2	116
2931375650	378	253	376	2	121	1.5e-41	135.5	pfam02768	DNA_pol3_beta_3	121
2931375651	71	5	70	1	64	3.7e-31	101.2	pfam13275	S4_2	65
2931375652	370	2	368	1	202	4.8e-21	69.6	pfam02463	SMC_N	220
2931375653	81	2	73	2	72	1.5e-09	32.3	pfam04025	DUF370	73
2931375654	640	35	179	2	110	1.4e-23	78	pfam02518	HATPase_c	111
2931375654	640	227	397	1	174	4.4e-67	219.3	pfam00204	DNA_gyraseB	175
2931375654	640	425	537	1	102	1.1e-20	68.2	pfam01751	Toprim	103
2931375654	640	567	629	4	63	1.4e-31	102.9	pfam00986	DNA_gyraseB_C	63
2931375655	821	33	473	1	426	0.0e+00	539.2	pfam00521	DNA_topoisoIV	427
2931375655	821	505	552	2	47	9.1e-17	54.7	pfam03989	DNA_gyraseA_C	48
2931375655	821	555	605	1	45	6.1e-12	39.3	pfam03989	DNA_gyraseA_C	48
2931375655	821	611	656	2	47	3.4e-09	30.5	pfam03989	DNA_gyraseA_C	48
2931375655	821	659	706	2	47	4.1e-16	52.7	pfam03989	DNA_gyraseA_C	48
2931375655	821	709	757	2	47	3.7e-16	52.8	pfam03989	DNA_gyraseA_C	48
2931375655	821	760	807	1	47	3.4e-12	40.1	pfam03989	DNA_gyraseA_C	48
2931375661	315	8	311	2	318	1.2e-114	377.2	pfam14175	YaaC	319
2931375662	488	10	474	1	345	0.0e+00	555.9	pfam00478	IMPDH	345
2931375662	488	88	148	7	52	1.6e-09	32.5	pfam00571	CBS	57
2931375662	488	153	209	1	51	1.3e-10	36	pfam00571	CBS	57
2931375663	443	28	289	2	240	1.7e-89	293.8	pfam00768	Peptidase_S11	241
2931375663	443	310	413	1	91	3.5e-26	85.7	pfam07943	PBP5_C	91
2931375664	294	6	212	2	207	2.6e-108	354.9	pfam01680	SOR_SNZ	207
2931375665	196	6	189	1	187	1.2e-86	283.8	pfam01174	SNO	188
2931375667	425	1	108	1	108	1.6e-33	109.6	pfam02403	Seryl_tRNA_N	108
2931375667	425	217	400	4	179	7.0e-40	131.3	pfam00587	tRNA-synt_2b	179
2931375669	217	12	212	1	203	9.1e-73	238.8	pfam01712	dNK	204
2931375670	207	7	207	1	203	2.2e-63	208.2	pfam01712	dNK	204
2931375671	427	1	43	2	44	3.5e-16	53.5	pfam01476	LysM	44
2931375671	427	49	92	1	44	1.8e-11	38.4	pfam01476	LysM	44
