gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2931375649	446	99.77	8	443	1	432	0.0e+00	622	COG0593	Chromosomal replication initiation ATPase DnaA	408
2931375650	378	100	1	377	1	365	3.2e-124	409	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2931375651	71	90.41	1	71	1	66	1.8e-32	105.1	COG2501	Ribosome-associated protein YbcJ, S4-like RNA binding protein	73
2931375652	370	99.17	1	370	2	361	0.0e+00	445.5	COG1195	Recombinational DNA repair ATPase RecF	363
2931375654	640	99.84	5	640	2	641	0.0e+00	1029.6	COG0187	DNA gyrase/topoisomerase IV, subunit B	635
2931375655	821	99.63	1	809	2	811	0.0e+00	1204.5	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2931375662	488	94.95	1	213	5	211	9.6e-126	182.9	COG0516	IMP dehydrogenase/GMP reductase	170
2931375662	488	100	260	477	1	218	9.6e-126	236.6	COG0516	IMP dehydrogenase/GMP reductase	170
2931375663	443	99.24	3	443	4	393	8.6e-121	397.9	COG1686	D-alanyl-D-alanine carboxypeptidase	389
2931375664	294	98.65	1	294	5	296	0.0e+00	528.3	COG0214	Pyridoxal biosynthesis lyase PdxS	296
2931375665	196	98.45	2	191	2	192	1.8e-79	260	COG0311	Glutamine amidotransferase PdxT (pyridoxal biosynthesis)	194
2931375667	425	99.07	1	425	1	427	0.0e+00	642.6	COG0172	Seryl-tRNA synthetase	429
2931375669	217	98.61	6	217	3	215	4.3e-81	265.9	COG1428	Deoxyadenosine/deoxycytidine kinase	216
2931375670	207	97.22	1	207	1	210	4.7e-68	223.4	COG1428	Deoxyadenosine/deoxycytidine kinase	216
2931375671	427	99.05	1	420	5	423	0.0e+00	548.9	COG3858	Spore germination protein YaaH	423
2931375672	181	97.57	1	181	2	202	1.2e-35	117.3	COG1335	Nicotinamidase-related amidase	205
2931375673	161	96.73	1	147	5	152	2.2e-57	187.5	COG0590	tRNA(Arg) A34 adenosine deaminase TadA	152
2931375675	563	89.57	1	544	2	525	0.0e+00	555.1	COG2812	DNA polymerase III, gamma/tau subunits	515
2931375676	107	98.1	2	107	2	104	1.7e-41	134.8	COG0718	Conserved DNA-binding protein YbaB (function unknown)	105
2931375677	198	99.49	1	198	1	197	1.9e-88	289.1	COG0353	Recombinational DNA repair protein RecR	198
2931375686	204	100	1	204	1	204	4.5e-92	301.5	COG4915	5-bromo-4-chloroindolyl phosphate hydrolysis protein	204
2931375687	386	96.11	1	386	11	381	0.0e+00	484.4	COG3853	Uncharacterized conserved protein YaaN involved in tellurite resistance	386
2931375688	480	11.47	397	480	514	581	0.0e+00	62.9	COG1982	Arginine/lysine/ornithine decarboxylase	557
2931375688	480	73.36	1	387	8	442	0.0e+00	379.7	COG1982	Arginine/lysine/ornithine decarboxylase	557
2931375689	212	99.52	1	210	1	207	6.3e-77	252.1	COG0125	Thymidylate kinase	208
2931375690	109	100	1	109	1	109	8.3e-57	184.4	COG3870	Uncharacterized protein YaaQ	109
2931375691	128	81.46	1	128	29	151	1.3e-48	159.2	COG1728	Uncharacterized protein YaaR, TM1646/DUF327 family	151
2931375693	275	98.87	1	265	2	264	2.0e-121	398.6	COG1774	Cell fate regulator YaaT, PSP1 superfamily (controls sporulation, competence, biofilm development)	265
2931375694	119	100	1	119	1	115	2.5e-49	160.7	COG4467	Regulator of replication initiation timing	114
2931375695	247	97.58	3	247	2	243	1.5e-94	309.9	COG4123	tRNA1(Val) A37 N6-methylase TrmN6	248
2931375696	99	94.74	2	95	2	91	2.3e-34	111.2	COG2827	Predicted endonuclease, GIY-YIG superfamily	95
2931375697	292	98.53	12	292	3	270	1.0e-105	346.8	COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI	275
2931375698	94	98.9	1	91	1	90	1.7e-26	86.6	COG2002	Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module	89
2931375699	664	76.06	543	664	8	115	1.0e-33	109.7	COG0073	tRNA-binding EMAP/Myf domain	123
2931375699	664	99.28	2	537	3	557	0.0e+00	692.8	COG0143	Methionyl-tRNA synthetase	558
2931375700	255	99.22	1	254	2	256	9.5e-102	333.8	COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	256
2931375701	437	100	31	340	1	309	3.1e-125	411.2	COG3583	Uncharacterized conserved protein YabE, contains G5 and tandem DUF348 domains	309
2931375702	186	92.91	1	118	8	125	7.0e-42	136.1	COG1658	5S rRNA maturation endonuclease (Ribonuclease M5), contains TOPRIM domain	127
2931375703	292	98.46	19	291	2	257	1.9e-95	313.1	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	259
2931375705	86	98.75	1	78	2	80	8.3e-38	122.4	COG4466	Uncharacterized protein Veg	80
2931375707	292	98.62	3	290	2	287	8.8e-103	337.5	COG1947	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	289
2931375708	285	98.32	80	257	2	177	3.6e-48	157.1	COG0503	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	179
2931375709	125	97.06	1	125	3	134	1.4e-45	148.7	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	130
2931375710	97	94.74	1	96	2	91	7.0e-48	155	COG2088	DNA-binding protein SpoVG, cell septation regulator	95
2931375711	456	99.13	2	456	3	457	0.0e+00	654.3	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	460
2931375712	317	98.74	5	317	4	317	0.0e+00	447.4	COG0462	Phosphoribosylpyrophosphate synthetase	314
2931375713	204	100	1	93	1	93	1.8e-31	101.9	COG1825	Ribosomal protein L25 (general stress protein Ctc)	93
2931375714	188	98.41	1	188	2	187	5.0e-76	248.6	COG0193	Peptidyl-tRNA hydrolase	190
2931375716	1177	99.12	17	1172	9	1138	0.0e+00	1427.8	COG1197	Transcription-repair coupling factor (superfamily II helicase)	1139
2931375717	178	98.9	1	94	1	90	1.8e-23	76.4	COG2002	Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module	89
2931375718	532	98.34	6	507	5	478	1.2e-87	288.6	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	480
2931375719	489	100	1	487	1	488	0.0e+00	879.6	COG3956	Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain	488
2931375720	86	84	1	86	9	92	1.6e-34	112.7	COG1188	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	100
2931375722	211	25.94	18	194	336	466	9.4e-01	2.1	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	439
2931375723	125	96.61	7	125	3	116	5.2e-31	101.1	COG2919	Cell division protein FtsB	117
2931375724	128	99.22	1	125	1	128	5.6e-52	169.4	COG1098	Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain	129
2931375727	827	99.46	413	806	2	367	4.3e-103	337.8	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
2931375728	245	64.84	1	245	132	391	6.7e-31	101.9	COG2304	Secreted protein containing bacterial Ig-like domain and vWFA domain	399
2931375729	338	32.55	14	312	3	155	1.4e-17	58.4	COG0515	Serine/threonine protein kinase	384
2931375730	472	83.44	1	286	9	265	4.1e-74	243.2	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	298
2931375731	180	96.65	1	177	5	177	2.9e-79	258.8	COG0634	Hypoxanthine-guanine phosphoribosyltransferase	178
2931375732	637	99.83	9	609	1	600	0.0e+00	913.7	COG0465	ATP-dependent Zn proteases	596
2931375733	258	99.6	1	253	2	253	2.1e-104	342.7	COG1521	Pantothenate kinase type III	251
2931375734	291	98.61	1	285	4	286	4.0e-105	345.4	COG1281	Redox-regulated molecular chaperone, HSP33 family	286
2931375735	297	92.62	3	294	4	304	1.2e-33	110.7	COG0760	Parvulin-like peptidyl-prolyl isomerase	320
2931375736	308	99.01	4	303	3	301	0.0e+00	429.5	COG0031	Cysteine synthase	300
2931375737	470	97.64	8	468	10	465	0.0e+00	523.1	COG0147	Anthranilate/para-aminobenzoate synthases component I	462
2931375738	194	98.43	1	188	3	190	2.0e-82	269.5	COG0512	Anthranilate/para-aminobenzoate synthase component II	191
2931375739	294	98.25	1	282	3	282	1.4e-70	232.6	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	284
2931375740	285	96.4	16	284	4	271	1.7e-104	343	COG0294	Dihydropteroate synthase	274
2931375741	120	98.35	1	120	2	120	9.1e-46	149.3	COG1539	Dihydroneopterin aldolase	121
2931375742	167	90.06	2	160	2	146	8.0e-60	195.1	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	160
2931375743	69	49.23	5	69	2	65	4.8e-17	57.1	COG1396	Transcriptional regulator, contains XRE-family HTH domain	120
2931375744	333	99.08	2	324	2	323	7.2e-115	377.7	COG0042	tRNA-dihydrouridine synthase	323
2931375745	499	98.43	1	499	7	507	0.0e+00	774	COG1190	Lysyl-tRNA synthetase (class II)	502
2931375762	154	98.69	2	154	2	152	5.5e-74	241.6	COG4463	Transcriptional regulator CtsR	153
2931375763	185	98.86	1	180	2	175	2.8e-74	242.8	COG3880	Protein-arginine kinase activator protein McsA	176
2931375764	363	99.72	2	352	1	351	0.0e+00	554.6	COG3869	Protein-arginine kinase	352
2931375765	810	99.63	5	808	1	802	0.0e+00	1141.3	COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA	786
2931375766	458	99.12	1	457	1	452	0.0e+00	685.7	COG1066	Predicted ATP-dependent serine protease	456
2931375767	360	98.85	1	351	5	349	0.0e+00	548.6	COG1623	Diadenylate cyclase (c-di-AMP synthetase), DNA integrity scanning protein DisA	349
2931375768	366	99.72	1	361	1	355	0.0e+00	556.5	COG4956	Uncharacterized conserved protein YacL, contains PIN and TRAM domains	356
2931375769	232	97.41	1	229	4	229	2.4e-88	289.4	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	230
2931375770	158	98.11	2	158	1	156	3.7e-73	239	COG0245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	159
2931375771	483	97.5	1	483	9	476	0.0e+00	555.4	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	472
2931375773	217	96.43	1	194	6	194	2.5e-83	272.5	COG1045	Serine acetyltransferase	194
2931375774	466	99.57	2	465	2	464	0.0e+00	621.5	COG0215	Cysteinyl-tRNA synthetase	464
2931375775	143	96.21	1	134	3	129	2.7e-56	183.1	COG1939	23S rRNA maturation mini-RNase III	132
2931375776	249	92.02	1	247	20	261	2.4e-85	280.2	COG0566	tRNA G18 (ribose-2'-O)-methylase SpoU	260
2931375777	170	98.27	1	169	3	172	2.0e-77	252.9	COG3688	Predicted RNA-binding protein containing a PIN domain	173
2931375778	218	95.16	16	218	5	181	1.1e-35	117	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2931375779	59	72.6	1	56	20	72	2.5e-23	75.8	COG0690	Preprotein translocase subunit SecE	73
2931375780	177	99.45	1	177	1	182	1.2e-68	224.7	COG0250	Transcription antitermination factor NusG	178
2931375781	141	99.29	2	141	1	140	1.0e-66	217.5	COG0080	Ribosomal protein L11	141
2931375782	232	99.13	1	227	1	228	5.7e-100	327.7	COG0081	Ribosomal protein L1	228
2931375784	166	94.89	1	166	1	167	2.1e-58	191	COG0244	Ribosomal protein L10	175
2931375785	123	100	1	123	1	125	1.4e-49	162	COG0222	Ribosomal protein L7/L12	124
2931375786	201	65.23	1	201	105	301	9.5e-72	235.8	COG2813	16S rRNA G1207 methylase RsmC	300
2931375787	1193	99.45	4	1150	6	1085	0.0e+00	1547.4	COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	1060
2931375788	1199	7.15	1113	1181	688	745	0.0e+00	15.8	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	808
2931375788	1199	14.43	901	1085	420	536	0.0e+00	24.9	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	808
2931375788	1199	99.51	4	857	4	810	0.0e+00	1037	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	808
2931375789	82	68.07	1	82	20	100	1.3e-23	77.2	COG1358	Ribosomal protein L7Ae or related RNA K-turn-binding protein	116
2931375790	138	95.35	1	136	7	129	8.4e-62	200.6	COG0048	Ribosomal protein S12	129
2931375791	156	99.32	2	149	2	148	6.0e-67	218.1	COG0049	Ribosomal protein S7	148
2931375792	692	99.31	1	692	1	724	0.0e+00	1004.1	COG0480	Translation elongation factor EF-G, a GTPase	697
2931375793	396	99.75	1	396	1	393	0.0e+00	741.7	COG0050	Translation elongation factor EF-Tu, a GTPase	394
2931375794	318	91.19	12	317	22	290	2.8e-28	93.5	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2931375795	102	98.08	1	102	1	102	5.7e-48	155.6	COG0051	Ribosomal protein S10	104
2931375796	209	96.92	2	209	2	221	1.0e-79	261.6	COG0087	Ribosomal protein L3	218
2931375797	207	98.16	1	207	1	213	1.4e-82	270.4	COG0088	Ribosomal protein L4	214
2931375798	95	96.81	4	95	2	92	1.6e-33	109.4	COG0089	Ribosomal protein L23	94
2931375799	277	99.64	1	276	1	274	1.9e-130	428.3	COG0090	Ribosomal protein L2	275
2931375800	92	98.92	1	92	1	92	4.0e-44	142.7	COG0185	Ribosomal protein S19	93
2931375801	113	93.29	1	113	10	148	8.5e-45	146.3	COG0091	Ribosomal protein L22	120
2931375802	218	87.55	12	218	2	205	1.2e-95	313.4	COG0092	Ribosomal protein S3	233
2931375803	144	97.32	1	144	2	146	2.5e-63	206.5	COG0197	Ribosomal protein L16/L10AE	146
2931375804	66	97.06	1	66	1	66	4.8e-29	94.5	COG0255	Ribosomal protein L29	69
2931375805	87	95.4	1	86	4	86	4.7e-39	126.5	COG0186	Ribosomal protein S17	87
2931375806	122	100	1	122	1	123	2.4e-58	189.7	COG0093	Ribosomal protein L14	122
2931375807	103	97.22	1	102	3	107	1.3e-36	119.4	COG0198	Ribosomal protein L24	104
2931375808	179	99.44	1	179	1	179	9.5e-85	276.9	COG0094	Ribosomal protein L5	180
2931375809	61	98.36	1	61	2	61	1.3e-31	102.7	COG0199	Ribosomal protein S14	61
2931375810	132	100	1	132	1	133	1.2e-58	190.8	COG0096	Ribosomal protein S8	132
2931375811	179	99.44	1	179	1	178	4.0e-68	222.7	COG0097	Ribosomal protein L6P/L9E	178
2931375812	120	97.62	1	120	4	126	6.9e-48	156.5	COG0256	Ribosomal protein L18	125
2931375813	168	87.5	2	168	22	182	5.8e-74	241.5	COG0098	Ribosomal protein S5	181
2931375814	59	100	4	58	1	55	3.2e-27	88.3	COG1841	Ribosomal protein L30/L7E	55
2931375815	146	99.35	1	146	1	153	3.8e-53	174	COG0200	Ribosomal protein L15	152
2931375816	431	97.73	1	431	7	436	0.0e+00	494.8	COG0201	Preprotein translocase subunit SecY	436
2931375817	217	99.46	1	213	1	184	3.4e-78	256.2	COG0563	Adenylate kinase or related kinase	178
2931375818	248	98.06	1	248	3	306	7.9e-92	301.8	COG0024	Methionine aminopeptidase	255
2931375820	72	96	1	72	1	72	3.6e-38	123.1	COG0361	Translation initiation factor IF-1	75
2931375821	37	100	1	37	1	38	6.9e-24	78	COG0257	Ribosomal protein L36	38
2931375822	121	100	1	121	1	121	7.0e-53	172.2	COG0099	Ribosomal protein S13	121
2931375823	131	98.46	1	131	3	130	1.8e-61	200.4	COG0100	Ribosomal protein S11	129
2931375824	314	96.24	4	314	2	308	1.1e-127	419.6	COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	317
2931375825	120	95.69	1	120	6	116	6.0e-52	168.9	COG0203	Ribosomal protein L17	116
2931375826	281	98.31	4	238	3	235	8.9e-88	287.3	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	235
2931375827	289	97.89	2	242	4	235	4.4e-84	275.2	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	235
2931375828	265	98.88	5	265	1	266	1.1e-84	278	COG0619	Energy-coupling factor transporter transmembrane protein EcfT	252
2931375829	247	91.39	1	247	3	246	1.6e-87	287.4	COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	266
2931375831	145	95.95	2	145	3	144	1.6e-65	213.5	COG0102	Ribosomal protein L13	148
2931375832	130	95.49	1	130	7	133	2.6e-55	180.5	COG0103	Ribosomal protein S9	130
2931375833	255	50	5	222	43	164	1.5e-11	37.9	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	243
2931375835	237	72.18	21	232	74	265	4.0e-64	210.7	COG0860	N-acetylmuramoyl-L-alanine amidase	231
2931375836	352	94.76	33	318	11	281	4.3e-81	266	COG0489	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	265
2931375838	198	29.87	30	188	7	118	1.2e-01	5.5	COG4585	Signal transduction histidine kinase	365
2931375839	254	88.81	1	251	22	259	4.4e-49	161.3	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	267
2931375855	478	93.25	1	478	8	532	0.0e+00	465.1	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2931375857	319	98.15	1	319	3	320	3.3e-72	237.6	COG0385	Predicted Na+-dependent transporter	319
2931375858	250	92.45	4	248	20	264	1.8e-65	214.9	COG2819	Predicted hydrolase of the alpha/beta superfamily	264
2931375859	336	96.72	3	334	10	333	4.3e-99	325.8	COG0609	ABC-type Fe3+-siderophore transport system, permease component	334
2931375860	334	97.91	3	332	5	332	5.1e-92	302.6	COG0609	ABC-type Fe3+-siderophore transport system, permease component	334
2931375861	317	97.84	3	317	2	318	3.3e-56	185.1	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	319
2931375862	529	83.95	193	529	49	320	1.1e-43	143.8	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	319
2931375863	370	91.69	1	370	35	409	0.0e+00	644.7	COG3876	Uncharacterized conserved protein YbbC, DUF1343 family	409
2931375864	48	8.31	1	48	1	34	1.4e-06	21.6	COG3876	Uncharacterized conserved protein YbbC, DUF1343 family	409
2931375865	642	97.84	42	513	1	408	9.7e-129	424	COG1472	Periplasmic beta-glucosidase and related glycosidases	397
2931375866	441	94.8	3	434	11	393	2.5e-79	261.4	COG1680	CubicO group peptidase, beta-lactamase class C family	390
2931375867	455	93.26	8	94	3	85	1.1e-26	86.3	COG1264	Phosphotransferase system IIB components	88
2931375867	455	94.05	104	453	3	397	2.1e-68	224.9	COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific	393
2931375868	283	98.23	2	282	6	282	1.1e-83	274.6	COG1737	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains	281
2931375869	304	98.99	7	304	2	296	0.0e+00	455.1	COG2103	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase	298
2931375870	160	32.62	35	158	103	163	1.1e-05	19.6	COG1670	Protein N-acetyltransferase, RimJ/RimL family	187
2931375871	151	94.23	1	151	5	151	1.5e-54	178.1	COG1683	Uncharacterized conserved protein YbbK, DUF523 family	156
2931375877	187	93.01	6	187	7	179	3.1e-53	174.3	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2931375878	208	82.49	1	208	1	212	1.2e-46	153.9	COG5662	Transmembrane transcriptional regulator (anti-sigma factor RsiW)	256
2931375879	273	97.57	1	245	6	246	1.8e-95	313.1	COG1624	Diadenylate cyclase (c-di-AMP synthetase), DisA_N domain	247
2931375880	484	100	1	414	1	403	0.0e+00	563.6	COG4856	Uncharacterized protein, YbbR domain	403
2931375881	448	97.07	1	448	12	475	0.0e+00	479.1	COG1109	Phosphomannomutase	464
2931375882	600	100	1	600	1	615	0.0e+00	725.1	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	597
2931375883	112	38.06	1	112	167	276	5.5e-41	135	COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	285
2931375884	177	52.25	18	177	1	151	7.6e-32	105	COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	285
2931375885	211	97.88	18	206	4	188	6.7e-75	245.2	COG2169	Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains	187
2931375886	179	95.83	7	170	7	167	5.9e-53	173.9	COG0350	O6-methylguanine-DNA--protein-cysteine methyltransferase	168
2931375887	505	76.82	1	504	10	483	3.0e-89	294.7	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	606
2931375888	871	96.82	22	871	9	860	0.0e+00	1329.2	COG3002	Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family	880
2931375889	175	83.17	1	175	31	203	5.3e-32	105.4	COG0288	Carbonic anhydrase	207
2931375891	124	99.19	1	124	1	123	1.5e-52	171.1	COG5609	Uncharacterized protein YbcI	124
2931375892	114	41.81	10	111	134	230	2.3e-19	63.6	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2931375893	132	15.29	3	131	78	142	1.7e-05	18.5	COG0840	Methyl-accepting chemotaxis protein	408
2931375894	188	40.61	1	153	170	329	4.1e-17	57	COG0642	Signal transduction histidine kinase	336
2931375896	256	34.68	12	238	3	165	3.6e-37	122.8	COG0515	Serine/threonine protein kinase	384
2931375899	462	97.4	1	457	8	457	0.0e+00	630.2	COG1113	L-asparagine transporter and related permeases	462
2931375900	82	15.5	5	77	236	288	1.7e-04	14.9	COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain	348
2931375902	267	98.82	19	267	3	254	5.7e-98	321.2	COG2602	Beta-lactamase class D	254
2931375903	417	99.05	1	417	4	420	1.1e-79	262.4	COG2124	Cytochrome P450	411
