gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2930947516	452	8	450	0.0e+00	573.9	TIGR00362	chromosomal replication initiator protein DnaA
2930947517	379	1	378	7.1e-106	347.8	TIGR00663	DNA polymerase III, beta subunit
2930947518	75	4	63	2.7e-31	101.2	TIGR02988	S4 domain protein YaaA
2930947519	384	1	368	4.8e-126	414.3	TIGR00611	recF protein
2930947520	647	15	647	0.0e+00	973.9	TIGR01059	DNA gyrase, B subunit
2930947521	844	10	811	0.0e+00	1196.9	TIGR01063	DNA gyrase, A subunit
2930947522	98	3	98	2.4e-24	79	TIGR00166	ribosomal protein S6
2930947523	188	1	188	1.4e-48	158.9	TIGR00621	single stranded DNA-binding protein (ssb)
2930947524	78	8	77	1.5e-31	102.1	TIGR00165	ribosomal protein S18
2930947535	152	1	150	4.8e-45	147.2	TIGR00158	ribosomal protein L9
2930947537	462	10	457	0.0e+00	589	TIGR00665	replicative DNA helicase
2930947547	618	260	378	8.5e-07	22.8	TIGR00229	PAS domain S-box
2930947552	159	1	159	9.2e-57	184.9	TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
2930947560	341	68	340	3.4e-85	279.5	TIGR00571	DNA adenine methylase (dam)
2930947574	424	218	420	3.7e-50	164	TIGR03062	YhgE/Pip C-terminal domain
2930947574	424	4	161	4.0e-34	111.2	TIGR03061	YhgE/Pip N-terminal domain
2930947580	121	3	120	1.6e-23	76.6	TIGR00369	uncharacterized domain 1
2930947581	273	12	269	3.9e-120	393.8	TIGR01929	naphthoate synthase (dihydroxynaphthoic acid synthetase)
2930947582	477	26	467	2.2e-130	428.9	TIGR01923	O-succinylbenzoate-CoA ligase
2930947585	504	25	497	1.9e-93	307.5	TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
2930947586	502	12	502	0.0e+00	661.7	TIGR00499	lysyl-tRNA synthetase, eukaryotic and non-spirochete bacterial
2930947593	501	6	500	0.0e+00	444.5	TIGR00910	glutamate:gamma-aminobutyrate antiporter
2930947594	479	20	460	0.0e+00	529.1	TIGR01788	glutamate decarboxylase
2930947595	503	10	502	0.0e+00	500.9	TIGR00464	glutamyl-tRNA synthetase, bacterial family
2930947603	187	1	187	4.0e-80	261.5	TIGR03137	peroxiredoxin
2930947611	480	7	478	0.0e+00	692.6	TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
2930947614	495	5	492	0.0e+00	561.1	TIGR00871	glucose-6-phosphate 1-dehydrogenase
2930947623	477	23	449	1.4e-80	264.9	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930947641	920	1	18	5.7e-05	16.4	TIGR03715	KxYKxGKxW signal peptide
2930947641	920	887	919	9.5e-05	16.7	TIGR01167	LPXTG-motif cell wall anchor domain
2930947649	395	1	395	0.0e+00	459.6	TIGR00016	acetate kinase
2930947654	423	1	394	1.3e-48	159.4	TIGR00797	putative efflux protein, MATE family
2930947656	472	20	461	8.9e-90	294.9	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930947663	513	3	507	0.0e+00	694	TIGR01314	gluconate kinase, FGGY type
2930947664	300	1	300	5.3e-118	387.1	TIGR00872	6-phosphogluconate dehydrogenase (decarboxylating)
2930947668	492	35	480	1.0e-128	423.2	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930947673	464	12	441	2.6e-64	211.3	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930947677	167	13	166	1.7e-47	154.5	TIGR00011	Cys-tRNA(Pro) deacylase
2930947680	160	9	156	5.7e-42	136.9	TIGR01462	transcription elongation factor GreA
2930947687	295	20	295	5.3e-56	183.6	TIGR00005	pseudouridine synthase, RluA family
2930947697	337	235	322	1.5e-23	76.4	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
2930947699	337	2	330	8.4e-97	317.7	TIGR00545	lipoyltransferase and lipoate-protein ligase
2930947702	449	5	443	0.0e+00	698.3	TIGR02630	xylose isomerase
2930947703	502	6	485	0.0e+00	564.7	TIGR01312	D-xylulose kinase
2930947704	457	2	438	4.2e-116	382	TIGR00879	MFS transporter, sugar porter (SP) family
2930947706	259	6	259	9.2e-114	372.6	TIGR02415	acetoin reductases
2930947710	169	16	166	5.5e-35	113.9	TIGR00481	Raf kinase inhibitor-like protein, YbhB/YbcL family
2930947711	393	10	374	4.9e-87	286.1	TIGR01910	acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase
2930947717	480	10	463	2.8e-119	392.3	TIGR00931	Na+/H+ antiporter NhaC
2930947743	317	37	293	8.6e-74	242.7	TIGR01197	NRAMP (natural resistance-associated macrophage protein) metal ion transporters
2930947745	328	6	326	0.0e+00	571.7	TIGR01306	guanosine monophosphate reductase, bacterial
