gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2930947516	452	5	68	2	53	5.7e-08	26.2	pfam11638	DnaA_N	64
2930947516	452	116	334	1	218	1.4e-100	329.2	pfam00308	Bac_DnaA	219
2930947516	452	361	429	3	69	3.3e-33	107.3	pfam08299	Bac_DnaA_C	69
2930947517	379	1	126	1	121	1.5e-33	109.2	pfam00712	DNA_pol3_beta	121
2930947517	379	135	250	2	116	1.9e-36	118.5	pfam02767	DNA_pol3_beta_2	116
2930947517	379	252	377	2	120	1.9e-29	95.7	pfam02768	DNA_pol3_beta_3	121
2930947518	75	5	69	2	59	9.8e-28	89.5	pfam13275	S4_2	65
2930947519	384	2	354	1	197	1.6e-17	57.3	pfam02463	SMC_N	220
2930947520	647	40	187	3	108	1.9e-21	70.4	pfam02518	HATPase_c	111
2930947520	647	235	405	1	174	3.8e-65	212.3	pfam00204	DNA_gyraseB	175
2930947520	647	433	545	1	100	2.5e-18	59.9	pfam01751	Toprim	103
2930947520	647	575	637	3	63	2.8e-32	104.5	pfam00986	DNA_gyraseB_C	63
2930947521	844	34	474	1	424	0.0e+00	535.8	pfam00521	DNA_topoisoIV	427
2930947521	844	506	553	2	47	1.1e-13	44.1	pfam03989	DNA_gyraseA_C	48
2930947521	844	556	606	1	47	6.6e-13	41.7	pfam03989	DNA_gyraseA_C	48
2930947521	844	614	659	2	48	3.0e-13	42.8	pfam03989	DNA_gyraseA_C	48
2930947521	844	662	709	4	47	1.1e-12	40.9	pfam03989	DNA_gyraseA_C	48
2930947521	844	712	759	2	36	2.7e-10	33.3	pfam03989	DNA_gyraseA_C	48
2930947521	844	763	810	1	42	2.0e-13	43.3	pfam03989	DNA_gyraseA_C	48
2930947522	98	5	95	1	90	5.1e-26	84.5	pfam01250	Ribosomal_S6	90
2930947523	188	2	103	1	104	2.7e-37	120.7	pfam00436	SSB	104
2930947524	78	21	72	2	52	1.5e-29	95.7	pfam01084	Ribosomal_S18	52
2930947525	235	1	233	94	338	8.1e-34	111	pfam01979	Amidohydro_1	344
2930947526	132	55	127	1	60	5.8e-08	26	pfam01979	Amidohydro_1	344
2930947527	535	75	460	2	374	5.6e-59	193.6	pfam00496	SBP_bac_5	377
2930947528	307	2	45	2	43	2.2e-14	46.7	pfam13936	HTH_38	44
2930947528	307	152	263	6	117	3.0e-12	40.5	pfam00665	rve	119
2930947530	394	54	391	1	326	3.5e-45	148.4	pfam01979	Amidohydro_1	344
2930947531	533	73	458	1	374	4.7e-64	210.3	pfam00496	SBP_bac_5	377
2930947532	188	12	58	1	47	3.3e-11	36.6	pfam00440	TetR_N	47
2930947534	671	350	509	1	103	3.0e-23	75.7	pfam01368	DHH	103
2930947534	671	599	658	3	67	1.1e-06	22.3	pfam02272	DHHA1	70
