gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2930947516	452	99.77	8	448	1	432	0.0e+00	550.1	COG0593	Chromosomal replication initiation ATPase DnaA	408
2930947517	379	100	1	378	1	365	1.3e-109	360.2	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2930947518	75	87.67	1	72	3	66	1.0e-28	92.3	COG2501	Ribosome-associated protein YbcJ, S4-like RNA binding protein	73
2930947519	384	99.45	1	370	1	361	1.7e-127	418.8	COG1195	Recombinational DNA repair ATPase RecF	363
2930947520	647	99.38	10	647	2	638	0.0e+00	957.4	COG0187	DNA gyrase/topoisomerase IV, subunit B	635
2930947521	844	98.89	2	812	9	812	0.0e+00	1147.2	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2930947522	98	83.04	4	98	2	94	9.6e-32	102.7	COG0360	Ribosomal protein S6	112
2930947523	188	99.42	1	188	2	171	2.9e-52	169	COG0629	Single-stranded DNA-binding protein	167
2930947524	78	83.54	1	72	14	79	3.5e-31	101.2	COG0238	Ribosomal protein S18	75
2930947525	235	53.56	1	235	182	399	5.0e-51	167.3	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930947526	132	23.34	10	129	41	135	2.7e-09	29.8	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930947527	535	98.78	1	535	5	571	1.6e-98	324.2	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930947528	307	97.23	1	307	5	320	1.0e-77	255	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930947530	394	88.7	18	393	36	396	5.2e-66	216.4	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930947531	533	98.95	1	533	4	571	1.6e-102	337.4	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930947532	188	51.2	2	185	16	122	8.1e-17	55.1	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930947533	85	27.41	1	75	9	79	6.5e-07	22.3	COG0730	Uncharacterized membrane protein YfcA	258
2930947534	671	98.78	10	668	4	650	0.0e+00	760.4	COG3887	c-di-AMP phosphodiesterase, consists of a GGDEF-like and DHH domains	655
2930947535	152	99.32	1	151	1	147	3.8e-53	173.1	COG0359	Ribosomal protein L9	148
2930947537	462	99.54	9	457	2	435	0.0e+00	574.3	COG0305	Replicative DNA helicase	435
2930947538	176	76.06	1	171	1	162	1.8e-21	69.5	COG0655	Multimeric flavodoxin WrbA	207
2930947539	391	48.83	196	386	5	191	2.2e-19	33.7	COG0477	MFS family permease	338
2930947539	391	82.51	3	275	5	320	2.2e-19	33.3	COG0477	MFS family permease	338
2930947540	89	40.78	2	88	69	141	7.3e-05	16.2	COG3134	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	179
2930947542	536	98.43	1	536	7	571	1.8e-98	324.1	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930947546	238	99.57	3	234	1	231	2.3e-90	295.4	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2930947547	618	99.13	152	617	5	459	0.0e+00	634.2	COG5002	Signal transduction histidine kinase	459
2930947548	433	95.22	2	432	11	428	5.6e-36	117.4	COG4863	Two-component signal transduction system YycFG, regulatory protein YycH	439
2930947549	284	99.62	1	269	1	263	1.6e-32	106.3	COG4853	Two-component signal transduction system YycFG, regulatory protein YycI	264
2930947550	275	98.9	10	261	3	272	1.5e-53	175.2	COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	269
2930947551	447	93.15	34	438	21	360	2.7e-91	299.6	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	347
2930947552	159	100	1	159	1	156	5.3e-59	192.3	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	155
2930947556	627	93.94	16	609	16	511	3.6e-88	289.7	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	517
2930947557	162	66.05	6	157	47	153	2.9e-10	34.2	COG0454	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)	156
2930947559	307	97.23	1	307	5	320	1.0e-77	255	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930947560	341	98.56	67	341	3	275	2.2e-88	289.4	COG0338	Site-specific DNA-adenine methylase	274
