gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2930952626	452	99.77	8	448	1	432	0.0e+00	548.6	COG0593	Chromosomal replication initiation ATPase DnaA	408
2930952627	379	100	1	378	1	365	2.0e-109	359.7	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2930952629	75	87.67	1	72	3	66	1.1e-28	92.3	COG2501	Ribosome-associated protein YbcJ, S4-like RNA binding protein	73
2930952630	384	99.45	1	370	1	361	1.9e-127	418.8	COG1195	Recombinational DNA repair ATPase RecF	363
2930952631	647	99.38	10	647	2	638	0.0e+00	954.3	COG0187	DNA gyrase/topoisomerase IV, subunit B	635
2930952632	844	98.89	2	812	9	812	0.0e+00	1147.2	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2930952633	98	83.04	4	98	2	94	1.1e-31	102.7	COG0360	Ribosomal protein S6	112
2930952634	188	99.42	1	188	2	171	3.1e-52	168.9	COG0629	Single-stranded DNA-binding protein	167
2930952635	78	83.54	1	72	14	79	3.9e-31	101.2	COG0238	Ribosomal protein S18	75
2930952636	395	87.71	17	395	43	399	8.4e-67	219.3	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930952637	535	98.78	1	535	5	571	1.5e-98	324.5	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930952639	394	88.7	18	393	36	396	2.0e-64	211.3	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930952640	533	98.95	1	533	4	571	4.4e-102	336.1	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930952641	188	51.2	2	185	16	122	1.1e-15	51.6	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930952642	244	94.21	1	243	8	251	1.9e-26	86.4	COG0730	Uncharacterized membrane protein YfcA	258
2930952643	671	98.78	10	668	4	650	0.0e+00	759.9	COG3887	c-di-AMP phosphodiesterase, consists of a GGDEF-like and DHH domains	655
2930952644	152	99.32	1	151	1	147	4.0e-53	173.2	COG0359	Ribosomal protein L9	148
2930952647	462	99.54	9	457	2	435	0.0e+00	574.3	COG0305	Replicative DNA helicase	435
2930952648	176	76.06	1	172	1	162	1.9e-21	69.6	COG0655	Multimeric flavodoxin WrbA	207
2930952649	391	49.09	198	386	4	191	8.9e-19	33	COG0477	MFS family permease	338
2930952649	391	82.25	3	271	5	319	8.9e-19	31.8	COG0477	MFS family permease	338
2930952650	89	41.34	2	88	69	142	1.0e-04	15.8	COG3134	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	179
2930952652	536	98.43	1	536	7	571	2.3e-100	330.5	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930952656	238	99.57	3	234	1	231	2.5e-90	295.4	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2930952657	618	99.13	152	617	5	459	0.0e+00	631.2	COG5002	Signal transduction histidine kinase	459
2930952658	433	95.22	2	432	11	428	8.7e-36	116.9	COG4863	Two-component signal transduction system YycFG, regulatory protein YycH	439
2930952659	284	99.24	1	269	1	262	1.3e-32	106.7	COG4853	Two-component signal transduction system YycFG, regulatory protein YycI	264
2930952660	275	98.9	10	261	3	272	1.6e-53	175.2	COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	269
2930952661	447	92.88	34	438	22	360	4.0e-91	299.2	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	347
2930952662	159	100	1	159	1	156	5.9e-59	192.3	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	155
2930952664	307	97.23	1	307	5	320	3.2e-78	256.8	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930952665	596	77.23	43	392	15	248	6.1e-20	57.7	COG0863	DNA modification methylase	302
2930952666	219	22.76	1	218	1	224	1.3e-58	187.5	COG3587	Restriction endonuclease	985
2930952667	306	96	2	305	7	318	1.8e-76	250.9	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930952668	634	61.08	1	634	225	825	0.0e+00	441	COG3587	Restriction endonuclease	985
2930952669	285	89.85	1	284	32	323	1.7e-69	228.1	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930952670	152	15.24	1	151	831	980	5.3e-28	91	COG3587	Restriction endonuclease	985
2930952671	285	89.85	1	284	32	323	1.7e-69	228.1	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930952677	98	30.54	7	85	16	66	2.8e-05	17.2	COG4333	Uncharacterized protein	167
2930952681	627	93.75	16	609	17	511	1.7e-87	287.8	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	517
2930952682	103	32.28	4	89	102	162	2.6e-10	34	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2930952684	303	77.54	11	287	64	315	8.4e-29	94.2	COG0760	Parvulin-like peptidyl-prolyl isomerase	320
2930952686	97	32.12	17	96	88	131	8.1e-07	22.7	COG5566	Transcriptional regulator, Middle operon regulator (Mor) family	137
2930952687	330	51	50	325	121	247	1.8e-28	93.6	COG0791	Cell wall-associated hydrolase, NlpC family	197
2930952688	445	46.33	218	444	203	385	2.2e-15	4.2	COG2814	Predicted arabinose efflux permease, MFS family	394
2930952688	445	51.14	1	221	6	207	2.2e-15	49.9	COG2814	Predicted arabinose efflux permease, MFS family	394
2930952689	200	53.99	2	190	2	150	2.4e-12	40.3	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	275
2930952690	279	75.61	1	205	6	191	2.8e-49	161.4	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	246
2930952692	497	11.4	1	80	1	61	1.1e-100	43.3	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2930952692	497	73.27	71	496	122	513	1.1e-100	288.2	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2930952693	200	82.78	1	196	2	174	2.7e-12	41.5	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930952694	491	47	264	489	8	187	2.2e-35	24.8	COG0477	MFS family permease	338
2930952694	491	74.15	7	274	8	291	2.2e-35	96.5	COG0477	MFS family permease	338
2930952695	205	97.52	1	200	4	200	1.1e-42	139.5	COG1279	Arginine exporter protein ArgO	202
2930952696	143	96.24	19	140	5	132	1.4e-28	93	COG1846	DNA-binding transcriptional regulator, MarR family	126
2930952697	317	78.3	7	315	51	299	1.7e-67	221.7	COG0657	Acetyl esterase/lipase	312
2930952698	314	95.54	1	310	6	305	8.1e-54	176.3	COG1397	ADP-ribosylglycohydrolase	314
2930952699	198	90.53	15	191	10	181	1.9e-50	164.8	COG0110	Acetyltransferase (isoleucine patch superfamily)	190
2930952701	190	93.17	2	190	2	192	9.6e-40	130	COG4300	Cadmium resistance protein CadD, predicted permease	205
2930952702	143	31.75	6	127	107	166	7.2e-07	22.7	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2930952703	170	94.96	36	166	7	138	6.7e-23	74.6	COG2246	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)	139
2930952704	298	52.61	15	298	271	572	1.3e-37	123.2	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930952705	306	96	2	305	7	318	1.8e-76	250.9	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930952706	291	47.56	5	281	6	278	3.5e-66	217.5	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930952707	211	68.42	1	205	14	156	1.2e-13	45.8	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930952708	424	19.27	1	185	5	167	1.1e-55	81.8	COG1511	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	780
2930952708	424	28.25	157	416	579	817	1.1e-55	95.9	COG1511	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	780
2930952709	159	81.82	4	154	1	108	4.1e-30	98.2	COG0789	DNA-binding transcriptional regulator, MerR family	124
2930952710	161	93.38	1	147	5	145	5.3e-39	127	COG3238	Uncharacterized membrane protein YdcZ, DUF606 family	150
2930952711	142	92.05	1	142	9	147	6.0e-37	120.5	COG3238	Uncharacterized membrane protein YdcZ, DUF606 family	150
2930952712	282	87.71	1	264	24	287	5.1e-48	157.5	COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily	291
2930952713	109	65.08	1	45	1	41	2.9e-07	23.5	COG4877	Uncharacterized protein	63
2930952715	187	95.7	3	186	8	185	1.8e-45	148	COG3575	Uncharacterized protein	184
2930952716	167	14.03	8	158	54	131	1.6e-02	7.5	COG2194	Phosphoethanolamine transferase for periplasmic glucans (OPG), alkaline phosphatase superfamily	555
2930952717	121	84.4	1	121	19	137	1.7e-24	79.8	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	141
