gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2930952626	452	5	68	2	53	6.4e-08	26.2	pfam11638	DnaA_N	64
2930952626	452	116	334	1	218	1.6e-100	329.2	pfam00308	Bac_DnaA	219
2930952626	452	361	429	3	69	3.7e-33	107.3	pfam08299	Bac_DnaA_C	69
2930952627	379	1	126	1	121	1.6e-33	109.2	pfam00712	DNA_pol3_beta	121
2930952627	379	135	250	2	116	2.2e-36	118.5	pfam02767	DNA_pol3_beta_2	116
2930952627	379	252	377	2	120	1.4e-29	96.2	pfam02768	DNA_pol3_beta_3	121
2930952629	75	5	69	2	59	1.1e-27	89.5	pfam13275	S4_2	65
2930952630	384	2	354	1	197	1.8e-17	57.3	pfam02463	SMC_N	220
2930952631	647	40	187	3	109	4.8e-22	72.5	pfam02518	HATPase_c	111
2930952631	647	235	405	1	174	4.2e-65	212.3	pfam00204	DNA_gyraseB	175
2930952631	647	433	545	1	100	1.4e-18	60.9	pfam01751	Toprim	103
2930952631	647	575	637	3	63	3.1e-32	104.5	pfam00986	DNA_gyraseB_C	63
2930952632	844	34	474	1	424	0.0e+00	535.8	pfam00521	DNA_topoisoIV	427
2930952632	844	506	553	2	47	1.3e-13	44.1	pfam03989	DNA_gyraseA_C	48
2930952632	844	556	606	1	47	7.3e-13	41.7	pfam03989	DNA_gyraseA_C	48
2930952632	844	614	659	2	48	3.4e-13	42.8	pfam03989	DNA_gyraseA_C	48
2930952632	844	662	709	4	47	1.3e-12	40.9	pfam03989	DNA_gyraseA_C	48
2930952632	844	712	759	2	36	3.0e-10	33.3	pfam03989	DNA_gyraseA_C	48
2930952632	844	763	810	1	42	2.2e-13	43.3	pfam03989	DNA_gyraseA_C	48
2930952633	98	5	95	1	90	5.7e-26	84.5	pfam01250	Ribosomal_S6	90
2930952634	188	2	103	1	104	3.1e-37	120.7	pfam00436	SSB	104
2930952635	78	21	72	2	52	1.7e-29	95.7	pfam01084	Ribosomal_S18	52
2930952636	395	55	393	1	341	1.7e-45	149.6	pfam01979	Amidohydro_1	344
2930952637	535	75	460	2	374	6.2e-59	193.6	pfam00496	SBP_bac_5	377
2930952639	394	54	391	1	326	5.6e-44	144.6	pfam01979	Amidohydro_1	344
2930952640	533	73	458	1	374	9.3e-64	209.5	pfam00496	SBP_bac_5	377
2930952641	188	12	58	1	47	4.0e-10	33.2	pfam00440	TetR_N	47
2930952642	244	2	238	3	235	6.3e-31	101.6	pfam01925	TauE	236
2930952643	671	350	509	1	103	3.3e-23	75.7	pfam01368	DHH	103
2930952643	671	599	658	3	67	1.2e-06	22.3	pfam02272	DHHA1	70
2930952644	152	1	47	1	47	1.2e-20	66.7	pfam01281	Ribosomal_L9_N	47
2930952644	152	63	149	1	86	1.5e-30	99.4	pfam03948	Ribosomal_L9_C	86
2930952647	462	10	112	2	103	6.0e-38	123	pfam00772	DnaB	103
2930952647	462	186	454	1	255	1.0e-111	366.1	pfam03796	DnaB_C	256
2930952648	176	1	152	1	145	1.2e-21	70.9	pfam03358	FMN_red	155
2930952649	391	9	294	1	297	9.9e-17	54.6	pfam07690	MFS_1	353
2930952652	536	72	458	2	375	7.7e-69	226.2	pfam00496	SBP_bac_5	377
2930952654	333	22	196	66	170	1.0e-08	29.4	pfam13688	Reprolysin_5	196
2930952656	238	5	114	1	112	3.9e-34	111.1	pfam00072	Response_reg	112
2930952656	238	154	230	2	77	1.0e-28	93.1	pfam00486	Trans_reg_C	77
2930952657	618	186	254	4	67	1.1e-17	57.9	pfam00672	HAMP	69
2930952657	618	264	368	2	63	2.5e-10	34.2	pfam00989	PAS	113
2930952657	618	377	444	2	64	4.3e-21	68.6	pfam00512	HisKA	64
2930952657	618	495	607	2	109	1.2e-29	96.9	pfam02518	HATPase_c	111
2930952658	433	3	433	6	428	3.8e-37	122	pfam07435	YycH	438
2930952659	284	33	262	4	230	9.8e-64	208.9	pfam09648	YycI	230
2930952660	275	34	229	2	192	3.8e-20	66	pfam12706	Lactamase_B_2	201
2930952661	447	144	290	1	150	2.1e-31	103.6	pfam13365	Trypsin_2	150
2930952661	447	332	429	1	82	9.8e-21	67.8	pfam13180	PDZ_2	82
2930952662	159	1	158	1	154	1.2e-58	191.3	pfam02590	SPOUT_MTase	154
2930952664	307	2	45	2	43	6.2e-15	48.6	pfam13936	HTH_38	44
2930952664	307	152	263	6	117	2.0e-12	41.2	pfam00665	rve	119
2930952665	596	70	399	1	229	8.1e-47	153.6	pfam01555	N6_N4_Mtase	231
2930952666	219	4	216	3	149	2.7e-19	63.6	pfam04851	ResIII	171
2930952667	306	152	261	6	116	2.2e-18	60.4	pfam00665	rve	119
2930952669	285	130	236	10	116	9.3e-18	58.4	pfam00665	rve	119
2930952670	152	38	137	34	106	8.6e-08	26.1	pfam08774	VRR_NUC	108
2930952671	285	130	236	10	116	9.3e-18	58.4	pfam00665	rve	119
2930952677	98	26	83	1	47	3.3e-07	24.4	pfam07799	DUF1643	134
2930952681	627	67	328	2	204	5.2e-10	34	pfam00149	Metallophos	204
2930952681	627	405	569	2	157	2.0e-36	119.4	pfam02872	5_nucleotid_C	158
2930952682	103	1	97	35	114	6.8e-16	52.2	pfam13673	Acetyltransf_10	127
2930952684	303	122	238	13	113	2.7e-18	60.5	pfam13616	Rotamase_3	116
2930952685	689	332	445	12	110	9.9e-26	83.7	pfam03382	DUF285	121
2930952686	97	6	96	27	102	1.2e-12	41.6	pfam08765	Mor	108
2930952687	330	35	102	6	75	8.5e-03	10.6	pfam13457	SH3_8	76
2930952687	330	107	182	5	74	3.1e-12	40.8	pfam13457	SH3_8	76
2930952687	330	207	326	3	103	1.9e-23	76.4	pfam00877	NLPC_P60	105
2930952688	445	15	400	1	352	1.3e-51	169.4	pfam07690	MFS_1	353
2930952689	200	8	187	1	183	3.5e-43	141.5	pfam13460	NAD_binding_10	184
2930952690	279	4	192	3	187	7.2e-47	153.2	pfam00106	adh_short	195
2930952691	120	5	112	2	107	6.1e-14	46.2	pfam14534	DUF4440	107
2930952692	497	20	144	2	137	8.6e-15	49.3	pfam00005	ABC_tran	137
2930952692	497	327	452	2	137	8.7e-23	75.2	pfam00005	ABC_tran	137
2930952693	200	15	53	1	39	4.9e-09	29.8	pfam00440	TetR_N	47
2930952694	491	17	413	3	352	1.2e-44	146.5	pfam07690	MFS_1	353
2930952695	205	13	200	2	191	3.6e-27	88.9	pfam01810	LysE	193
2930952696	143	37	95	1	59	1.6e-20	66.7	pfam01047	MarR	59
2930952697	317	81	290	1	210	3.1e-68	223.6	pfam07859	Abhydrolase_3	211
2930952698	314	9	288	5	280	1.0e-48	160.3	pfam03747	ADP_ribosyl_GH	291
2930952699	198	9	58	2	53	3.6e-10	33.8	pfam12464	Mac	53
2930952699	198	130	165	2	36	7.3e-11	35.3	pfam00132	Hexapep	36
2930952701	190	13	190	2	181	2.9e-25	83.1	pfam03596	Cad	192
2930952702	143	11	135	20	111	2.3e-12	40.8	pfam13673	Acetyltransf_10	127
2930952703	170	47	162	1	117	4.9e-24	78.7	pfam04138	GtrA	117
2930952704	298	10	218	171	375	1.9e-33	109.7	pfam00496	SBP_bac_5	377
2930952705	306	152	261	6	116	2.2e-18	60.4	pfam00665	rve	119
2930952706	291	80	285	3	178	2.4e-40	132.4	pfam00496	SBP_bac_5	377
2930952707	211	12	58	1	45	1.5e-15	50.6	pfam00440	TetR_N	47
2930952708	424	16	415	4	340	3.1e-15	49.9	pfam12698	ABC2_membrane_3	345
2930952709	159	4	71	1	64	2.1e-20	66.5	pfam13411	MerR_1	69
2930952710	161	2	142	2	138	1.4e-39	129.4	pfam04657	DMT_YdcZ	139
2930952711	142	1	138	5	138	3.1e-40	131.5	pfam04657	DMT_YdcZ	139
2930952712	282	5	176	2	178	4.4e-29	95.6	pfam01145	Band_7	178
