gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2930952626	452	8	450	0.0e+00	573.2	TIGR00362	chromosomal replication initiator protein DnaA
2930952627	379	1	378	1.1e-105	347.2	TIGR00663	DNA polymerase III, beta subunit
2930952629	75	4	63	3.0e-31	101.2	TIGR02988	S4 domain protein YaaA
2930952630	384	1	368	5.3e-126	414.3	TIGR00611	recF protein
2930952631	647	15	647	0.0e+00	971	TIGR01059	DNA gyrase, B subunit
2930952632	844	10	811	0.0e+00	1196.9	TIGR01063	DNA gyrase, A subunit
2930952633	98	3	98	2.7e-24	79	TIGR00166	ribosomal protein S6
2930952634	188	1	188	4.0e-48	157.6	TIGR00621	single stranded DNA-binding protein (ssb)
2930952635	78	8	77	1.7e-31	102.1	TIGR00165	ribosomal protein S18
2930952644	152	1	150	1.1e-44	146.3	TIGR00158	ribosomal protein L9
2930952647	462	10	457	0.0e+00	589	TIGR00665	replicative DNA helicase
2930952657	618	260	378	9.5e-07	22.8	TIGR00229	PAS domain S-box
2930952662	159	1	159	1.0e-56	184.9	TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
2930952685	689	271	296	7.1e-09	29.1	TIGR02167	bacterial surface protein 26-residue repeat
2930952685	689	338	361	1.7e-07	24.6	TIGR02167	bacterial surface protein 26-residue repeat
2930952685	689	362	384	5.0e-06	20	TIGR02167	bacterial surface protein 26-residue repeat
2930952685	689	657	689	1.1e-06	22.9	TIGR01167	LPXTG-motif cell wall anchor domain
2930952694	491	12	484	1.1e-87	288.6	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930952708	424	218	420	3.1e-50	164.4	TIGR03062	YhgE/Pip C-terminal domain
2930952708	424	4	161	6.4e-34	110.7	TIGR03061	YhgE/Pip N-terminal domain
2930952717	121	3	120	1.8e-23	76.6	TIGR00369	uncharacterized domain 1
2930952718	273	12	269	1.7e-120	395.1	TIGR01929	naphthoate synthase (dihydroxynaphthoic acid synthetase)
2930952719	477	26	467	7.5e-129	424.1	TIGR01923	O-succinylbenzoate-CoA ligase
2930952722	504	25	497	2.8e-92	303.7	TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
2930952723	502	12	502	0.0e+00	662	TIGR00499	lysyl-tRNA synthetase, eukaryotic and non-spirochete bacterial
2930952732	501	6	500	0.0e+00	444.2	TIGR00910	glutamate:gamma-aminobutyrate antiporter
2930952733	479	20	460	0.0e+00	529.1	TIGR01788	glutamate decarboxylase
2930952734	503	10	502	0.0e+00	500.2	TIGR00464	glutamyl-tRNA synthetase, bacterial family
2930952743	187	1	187	1.8e-79	259.6	TIGR03137	peroxiredoxin
2930952748	480	7	478	0.0e+00	691.1	TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
2930952752	495	5	492	0.0e+00	560.1	TIGR00871	glucose-6-phosphate 1-dehydrogenase
2930952762	489	8	478	1.6e-54	179.1	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930952767	477	23	449	7.6e-80	262.6	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930952780	778	70	481	9.3e-50	163.1	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
2930952793	395	1	395	0.0e+00	461.1	TIGR00016	acetate kinase
2930952798	445	21	416	7.5e-50	163.6	TIGR00797	putative efflux protein, MATE family
2930952800	472	20	461	9.4e-90	295	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930952803	445	6	444	0.0e+00	440.5	TIGR00791	gluconate transporter
2930952804	218	6	208	2.2e-52	171.1	TIGR01182	Entner-Doudoroff aldolase
2930952815	513	3	507	0.0e+00	694.3	TIGR01314	gluconate kinase, FGGY type
2930952816	300	1	300	5.9e-118	387.1	TIGR00872	6-phosphogluconate dehydrogenase (decarboxylating)
2930952820	492	35	480	4.1e-128	421.4	TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
2930952825	464	12	442	1.9e-63	208.5	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930952830	167	13	166	1.6e-47	154.8	TIGR00011	Cys-tRNA(Pro) deacylase
2930952833	160	9	156	2.7e-41	134.9	TIGR01462	transcription elongation factor GreA
2930952840	295	16	295	6.5e-54	176.9	TIGR00005	pseudouridine synthase, RluA family
2930952842	323	106	321	5.5e-29	95	TIGR01297	cation diffusion facilitator family transporter
2930952843	571	6	511	8.8e-66	216.2	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930952849	337	235	322	1.6e-23	76.4	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
2930952851	337	2	330	9.3e-97	317.7	TIGR00545	lipoyltransferase and lipoate-protein ligase
2930952856	449	5	443	0.0e+00	698.3	TIGR02630	xylose isomerase
2930952857	502	6	485	0.0e+00	563.2	TIGR01312	D-xylulose kinase
2930952858	450	2	431	1.3e-109	360.8	TIGR00879	MFS transporter, sugar porter (SP) family
2930952859	259	6	259	1.0e-113	372.6	TIGR02415	acetoin reductases
2930952863	169	16	166	6.1e-35	113.9	TIGR00481	Raf kinase inhibitor-like protein, YbhB/YbcL family
2930952864	393	10	374	2.3e-87	287.3	TIGR01910	acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase
2930952870	480	10	463	3.1e-119	392.3	TIGR00931	Na+/H+ antiporter NhaC
2930952898	484	1	395	4.5e-102	335.9	TIGR01197	NRAMP (natural resistance-associated macrophage protein) metal ion transporters
2930952902	328	6	326	0.0e+00	570.3	TIGR01306	guanosine monophosphate reductase, bacterial
