gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2930952626	452	100	1	452	1	452	0.0e+00	1030	KO:K02313	chromosomal replication initiator protein		
2930952627	379	100	1	379	1	379	0.0e+00	836	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	
2930952630	384	100	1	384	1	384	0.0e+00	858	KO:K03629	DNA replication and repair protein RecF		
2930952631	647	99.85	1	647	1	647	0.0e+00	1480	KO:K02470	DNA gyrase subunit B [EC:5.99.1.3]	EC:5.99.1.3	
2930952632	844	100	1	844	1	844	0.0e+00	1880	KO:K02469	DNA gyrase subunit A [EC:5.99.1.3]	EC:5.99.1.3	
2930952633	98	100	1	98	1	98	4.4e-66	227	KO:K02990	small subunit ribosomal protein S6		
2930952634	188	100	1	188	1	188	0.0e+00	439	KO:K03111	single-strand DNA-binding protein		
2930952635	78	100	1	78	1	78	5.9e-49	176	KO:K02963	small subunit ribosomal protein S18		
2930952637	535	99.81	1	535	1	535	0.0e+00	1220	KO:K02035	peptide/nickel transport system substrate-binding protein		
2930952637	535	99.81	1	535	1	535	0.0e+00	1220	KO:K15580	oligopeptide transport system substrate-binding protein		
2930952640	533	100	1	533	1	533	0.0e+00	1220	KO:K02035	peptide/nickel transport system substrate-binding protein		
2930952640	533	100	1	533	1	533	0.0e+00	1220	KO:K15580	oligopeptide transport system substrate-binding protein		
2930952642	244	100	1	244	1	244	0.0e+00	536	KO:K07090	uncharacterized protein		
2930952644	152	100	1	152	1	152	6.2e-102	334	KO:K02939	large subunit ribosomal protein L9		
2930952647	462	100	1	462	1	462	0.0e+00	1030	KO:K02314	replicative DNA helicase [EC:3.6.4.12]	EC:3.6.4.12	
2930952652	536	100	1	536	1	536	0.0e+00	1230	KO:K15580	oligopeptide transport system substrate-binding protein		
2930952656	238	100	1	238	1	238	0.0e+00	545	KO:K07668	two-component system, OmpR family, response regulator VicR		
2930952657	618	100	1	618	1	618	0.0e+00	1380	KO:K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	EC:2.7.13.3	
2930952661	447	100	1	447	1	447	0.0e+00	977	KO:K04771	serine protease Do [EC:3.4.21.107]	EC:3.4.21.107	
2930952662	159	100	1	159	1	159	9.6e-110	357	KO:K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	EC:2.1.1.177	
2930952663	45	100	1	45	1	45	2.1e-26	108	KO:K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	EC:2.1.1.72	
2930952665	596	100	1	596	19	614	0.0e+00	1380	KO:K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	EC:2.1.1.72	
2930952666	219	100	1	219	1	219	0.0e+00	503	KO:K01156	type III restriction enzyme [EC:3.1.21.5]	EC:3.1.21.5	
2930952667	306	100	1	306	1	306	0.0e+00	712	KO:K07482	transposase, IS30 family		
2930952668	634	100	1	634	1	634	0.0e+00	1440	KO:K01156	type III restriction enzyme [EC:3.1.21.5]	EC:3.1.21.5	
2930952670	152	100	1	152	1	152	5.6e-106	346	KO:K01156	type III restriction enzyme [EC:3.1.21.5]	EC:3.1.21.5	
2930952681	627	100	1	627	1	627	0.0e+00	1430	KO:K01081	5'-nucleotidase [EC:3.1.3.5]	EC:3.1.3.5	
2930952684	303	100	1	303	5	307	0.0e+00	669	KO:K07533	foldase protein PrsA [EC:5.2.1.8]	EC:5.2.1.8	
2930952692	497	100	1	497	1	497	0.0e+00	1140	KO:K19350	lincosamide and streptogramin A transport system ATP-binding/permease protein		
2930952695	205	100	1	205	1	205	0.0e+00	461	KO:K06895	L-lysine exporter family protein LysE/ArgO		
2930952699	198	100	1	198	1	198	0.0e+00	465	KO:K00661	maltose O-acetyltransferase [EC:2.3.1.79]	EC:2.3.1.79	
2930952699	198	100	1	198	1	198	0.0e+00	465	KO:K00680			
2930952702	143	100	1	143	1	143	5.7e-102	333	KO:K03827	putative acetyltransferase [EC:2.3.1.-]	EC:2.3.1.-	
2930952705	306	100	1	306	1	306	0.0e+00	712	KO:K07482	transposase, IS30 family		
2930952706	291	100	1	291	1	291	0.0e+00	666	KO:K15580	oligopeptide transport system substrate-binding protein		
2930952710	161	100	1	161	1	161	5.3e-112	364	KO:K09936	bacterial/archaeal transporter family-2 protein		
2930952711	142	100	1	142	1	142	1.2e-95	315	KO:K09936	bacterial/archaeal transporter family-2 protein		
2930952715	187	100	1	187	2	188	0.0e+00	435	KO:K09962	uncharacterized protein		
2930952718	273	100	1	273	1	273	0.0e+00	638	KO:K01661	naphthoate synthase [EC:4.1.3.36]	EC:4.1.3.36	
2930952719	477	100	1	477	1	477	0.0e+00	1090	KO:K01911	O-succinylbenzoic acid--CoA ligase [EC:6.2.1.26]	EC:6.2.1.26	
2930952722	504	100	1	504	1	504	0.0e+00	1150	KO:K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	EC:6.3.2.13	
2930952723	502	100	1	502	1	502	0.0e+00	1170	KO:K04567	lysyl-tRNA synthetase, class II [EC:6.1.1.6]	EC:6.1.1.6	
2930952730	211	100	1	211	1	211	0.0e+00	476	KO:K07118	uncharacterized protein		
2930952733	479	100	1	479	2	480	0.0e+00	1130	KO:K01580	glutamate decarboxylase [EC:4.1.1.15]	EC:4.1.1.15	
2930952734	503	100	1	503	1	503	0.0e+00	1170	KO:K09698	nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]	EC:6.1.1.24	
2930952740	428	100	1	428	1	428	0.0e+00	939	KO:K03309	dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family		
2930952740	428	100	1	428	1	428	0.0e+00	939	KO:K11102	proton glutamate symport protein		
2930952743	187	100	1	187	1	187	0.0e+00	441	KO:K03386	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	EC:1.11.1.15	
2930952748	480	100	1	480	1	480	0.0e+00	1100	KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	EC:1.1.1.343	
2930952748	480	100	1	480	1	480	0.0e+00	1100	KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	EC:1.1.1.44	
2930952750	145	100	1	145	1	145	6.8e-102	333	KO:K02348	ElaA protein		
2930952752	495	100	1	495	1	495	0.0e+00	1140	KO:K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	EC:1.1.1.363	
2930952752	495	100	1	495	1	495	0.0e+00	1140	KO:K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	EC:1.1.1.49	
2930952753	273	100	1	273	1	273	0.0e+00	645	KO:K00662	aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	EC:2.3.1.81	
2930952755	475	100	1	475	1	475	0.0e+00	1070	KO:K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	EC:1.2.1.68	
2930952760	448	100	1	448	1	448	0.0e+00	1010	KO:K02445	MFS transporter, OPA family, glycerol-3-phosphate transporter		
2930952761	204	100	1	204	1	204	0.0e+00	462	KO:K07118	uncharacterized protein		
2930952765	157	100	1	157	1	157	1.3e-112	365	KO:K03647	protein involved in ribonucleotide reduction		
2930952766	506	100	1	506	1	506	0.0e+00	1120	KO:K18231	macrolide transport system ATP-binding/permease protein		
2930952767	477	100	1	477	1	477	0.0e+00	1050	KO:K18926	MFS transporter, DHA2 family, lincomycin resistance protein		
2930952769	257	100	1	257	1	257	0.0e+00	585	KO:K00065	2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]	EC:1.1.1.125	
2930952770	322	99.69	1	322	1	322	0.0e+00	719	KO:K02525	LacI family transcriptional regulator, kdg operon repressor		
2930952775	141	100	1	141	1	141	5.0e-100	328	KO:K13993	HSP20 family protein		
2930952780	778	99.87	1	778	1	778	0.0e+00	1690	KO:K12952	cation-transporting ATPase E [EC:3.6.3.-]	EC:3.6.3.-	
2930952782	597	100	1	597	1	597	0.0e+00	1360	KO:K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	EC:3.1.4.46	
2930952783	872	100	1	872	1	872	0.0e+00	1980	KO:K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	EC:1.1.1.1	
2930952783	872	100	1	872	1	872	0.0e+00	1980	KO:K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	EC:1.2.1.10	
2930952791	281	100	1	281	1	281	0.0e+00	673	KO:K01815	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	EC:5.3.1.17	
2930952792	326	100	1	326	1	326	0.0e+00	729	KO:K00874	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	EC:2.7.1.45	
2930952793	395	100	1	395	1	395	0.0e+00	882	KO:K00925	acetate kinase [EC:2.7.2.1]	EC:2.7.2.1	
2930952795	540	100	1	540	1	540	0.0e+00	1240	KO:K01992	ABC-2 type transport system permease protein		
2930952796	297	100	1	297	1	297	0.0e+00	683	KO:K01990	ABC-2 type transport system ATP-binding protein		
2930952797	218	100	1	218	1	218	0.0e+00	494	KO:K06950	uncharacterized protein		
2930952799	475	100	1	475	1	475	0.0e+00	1130	KO:K01812	glucuronate isomerase [EC:5.3.1.12]	EC:5.3.1.12	
2930952800	472	100	1	472	1	472	0.0e+00	1060	KO:K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family		
2930952801	831	100	1	831	4	834	0.0e+00	1950	KO:K01187	alpha-glucosidase [EC:3.2.1.20]	EC:3.2.1.20	
2930952802	603	100	1	603	1	603	0.0e+00	1410	KO:K01195	beta-glucuronidase [EC:3.2.1.31]	EC:3.2.1.31	
2930952803	445	100	1	445	1	445	0.0e+00	967	KO:K16321	high-affinity gluconate transporter		
2930952804	218	100	1	218	1	218	0.0e+00	490	KO:K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	EC:4.1.2.14	
2930952804	218	100	1	218	1	218	0.0e+00	490	KO:K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	EC:4.1.3.42	
2930952805	320	100	1	320	1	320	0.0e+00	730	KO:K00874	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	EC:2.7.1.45	
2930952806	471	100	1	471	1	471	0.0e+00	1110	KO:K01812	glucuronate isomerase [EC:5.3.1.12]	EC:5.3.1.12	
2930952808	521	100	1	521	1	521	0.0e+00	1200	KO:K16210	oligogalacturonide transporter		
2930952810	357	100	1	357	1	357	0.0e+00	856	KO:K01686	mannonate dehydratase [EC:4.2.1.8]	EC:4.2.1.8	
2930952811	545	100	1	545	1	545	0.0e+00	1260	KO:K00040	fructuronate reductase [EC:1.1.1.57]	EC:1.1.1.57	
2930952813	220	100	1	220	1	220	0.0e+00	502	KO:K15634	probable phosphoglycerate mutase [EC:5.4.2.12]	EC:5.4.2.12	
2930952815	513	100	1	513	1	513	0.0e+00	1200	KO:K00851	gluconokinase [EC:2.7.1.12]	EC:2.7.1.12	
2930952816	300	100	1	300	1	300	0.0e+00	693	KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	EC:1.1.1.343	
2930952816	300	100	1	300	1	300	0.0e+00	693	KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	EC:1.1.1.44	
2930952818	356	100	1	356	1	356	0.0e+00	840	KO:K01686	mannonate dehydratase [EC:4.2.1.8]	EC:4.2.1.8	
2930952819	335	100	1	335	1	335	0.0e+00	746	KO:K02529	LacI family transcriptional regulator		
2930952820	492	100	1	492	1	492	0.0e+00	1120	KO:K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family		
2930952822	486	100	1	486	1	486	0.0e+00	1150	KO:K01812	glucuronate isomerase [EC:5.3.1.12]	EC:5.3.1.12	
2930952827	62	100	1	62	1	62	4.7e-38	143	KO:K07729	putative transcriptional regulator		
2930952830	167	100	1	167	29	195	7.5e-120	387	KO:K03976	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]	EC:3.1.1.-	
2930952833	160	100	1	160	1	160	4.2e-111	361	KO:K03624	transcription elongation factor GreA		
2930952835	226	100	1	226	1	226	0.0e+00	518	KO:K07707	two-component system, AgrA family, response regulator AgrA		
2930952837	448	99.78	1	448	1	448	0.0e+00	1010	KO:K07706	two-component system, AgrA family, sensor histidine kinase AgrC [EC:2.7.13.-]	EC:2.7.13.-	
2930952840	295	100	1	295	1	295	0.0e+00	702	KO:K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	EC:5.4.99.23	
2930952845	602	100	1	602	1	602	0.0e+00	1400	KO:K02035	peptide/nickel transport system substrate-binding protein		
2930952846	316	100	1	316	1	316	0.0e+00	721	KO:K02034	peptide/nickel transport system permease protein		
2930952847	319	100	1	319	1	319	0.0e+00	742	KO:K02033	peptide/nickel transport system permease protein		
2930952848	324	100	1	324	1	324	0.0e+00	730	KO:K02032	peptide/nickel transport system ATP-binding protein		
2930952849	337	100	1	337	1	337	0.0e+00	775	KO:K02031	peptide/nickel transport system ATP-binding protein		
2930952851	337	100	1	337	1	337	0.0e+00	785	KO:K03800	lipoate-protein ligase A [EC:2.7.7.63]	EC:2.7.7.63	
2930952856	449	100	1	449	1	449	0.0e+00	1060	KO:K01805	xylose isomerase [EC:5.3.1.5]	EC:5.3.1.5	
2930952857	502	100	1	502	1	502	0.0e+00	1160	KO:K00854	xylulokinase [EC:2.7.1.17]	EC:2.7.1.17	
