gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2930955511	452	5	68	2	53	6.2e-08	26.2	pfam11638	DnaA_N	64
2930955511	452	116	334	1	218	1.6e-100	329.2	pfam00308	Bac_DnaA	219
2930955511	452	361	429	3	69	3.6e-33	107.3	pfam08299	Bac_DnaA_C	69
2930955512	379	1	126	1	121	1.6e-33	109.2	pfam00712	DNA_pol3_beta	121
2930955512	379	135	250	2	116	2.1e-36	118.5	pfam02767	DNA_pol3_beta_2	116
2930955512	379	252	377	2	120	2.0e-29	95.7	pfam02768	DNA_pol3_beta_3	121
2930955513	75	5	69	2	59	1.1e-27	89.5	pfam13275	S4_2	65
2930955514	384	2	354	1	197	1.7e-17	57.3	pfam02463	SMC_N	220
2930955515	647	40	187	3	108	2.1e-21	70.4	pfam02518	HATPase_c	111
2930955515	647	235	405	1	174	4.1e-65	212.3	pfam00204	DNA_gyraseB	175
2930955515	647	433	545	1	100	2.7e-18	59.9	pfam01751	Toprim	103
2930955515	647	575	637	3	63	3.1e-32	104.5	pfam00986	DNA_gyraseB_C	63
2930955516	844	34	474	1	424	0.0e+00	535.8	pfam00521	DNA_topoisoIV	427
2930955516	844	506	553	2	47	1.2e-13	44.1	pfam03989	DNA_gyraseA_C	48
2930955516	844	556	606	1	47	7.1e-13	41.7	pfam03989	DNA_gyraseA_C	48
2930955516	844	614	659	2	48	3.3e-13	42.8	pfam03989	DNA_gyraseA_C	48
2930955516	844	662	709	4	47	1.2e-12	40.9	pfam03989	DNA_gyraseA_C	48
2930955516	844	712	759	2	36	2.9e-10	33.3	pfam03989	DNA_gyraseA_C	48
2930955516	844	763	810	1	42	2.2e-13	43.3	pfam03989	DNA_gyraseA_C	48
2930955517	98	5	95	1	90	5.5e-26	84.5	pfam01250	Ribosomal_S6	90
2930955518	188	2	103	1	104	3.0e-37	120.7	pfam00436	SSB	104
2930955519	78	21	72	2	52	1.6e-29	95.7	pfam01084	Ribosomal_S18	52
2930955520	395	55	393	1	338	6.4e-45	147.7	pfam01979	Amidohydro_1	344
2930955521	535	75	460	2	374	6.1e-59	193.6	pfam00496	SBP_bac_5	377
2930955523	394	54	391	1	326	3.8e-45	148.4	pfam01979	Amidohydro_1	344
2930955524	533	73	458	1	374	5.1e-64	210.3	pfam00496	SBP_bac_5	377
2930955525	188	12	58	1	47	3.6e-11	36.6	pfam00440	TetR_N	47
2930955527	671	350	509	1	103	3.3e-23	75.7	pfam01368	DHH	103
2930955527	671	599	658	3	67	1.2e-06	22.3	pfam02272	DHHA1	70
2930955528	152	1	47	1	47	1.2e-20	66.7	pfam01281	Ribosomal_L9_N	47
2930955528	152	63	149	1	86	1.4e-30	99.4	pfam03948	Ribosomal_L9_C	86
2930955530	462	10	112	2	103	5.8e-38	123	pfam00772	DnaB	103
2930955530	462	186	454	1	255	1.0e-111	366.1	pfam03796	DnaB_C	256
2930955531	176	1	152	1	145	1.2e-21	70.9	pfam03358	FMN_red	155
2930955533	304	139	302	28	176	9.0e-17	54.7	pfam07690	MFS_1	353
2930955536	536	72	458	2	375	6.4e-68	223.1	pfam00496	SBP_bac_5	377
